,新增死亡,新增死亡,新增死亡,新增死亡,新增死亡,新增死亡,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例
,全国合计,上海,北京,四川,河南,重庆,全国合计,广东,重庆,北京,山西,四川,新疆,云南,广西,黑龙江,吉林,陕西,天津,湖北,山东,青海,辽宁,江苏,甘肃,河北,宁夏,河南,内蒙古,湖南,安徽,浙江,上海,福建,贵州,海南,江西,西藏,兵团
2022-01-01,,,,,,,134,,,,,,,,,,,123.0,,,,,,,,,,4.0,,,,7.0,,,,,,,
2022-01-02,,,,,,,105,,,,,,,,,,,92.0,,,,,,,,,,3.0,,,,9.0,1.0,,,,,,
2022-01-03,,,,,,,125,,,,,,,,,,,95.0,,,,,,,,,,20.0,,,,8.0,2.0,,,,,,
2022-01-04,,,,,,,61,,,,,,,,,,,35.0,,,,,,,,,,20.0,,,,2.0,4.0,,,,,,
2022-01-05,,,,,,,112,,,,,,,,,,,63.0,,,,,,,,,,43.0,,,,6.0,,,,,,,
2022-01-06,,,,,,,98,,,,,,,,,,,57.0,,,,,,,,,,36.0,,,,2.0,3.0,,,,,,
2022-01-07,,,,,,,101,2.0,,,,,,,,,,46.0,,,,,,,,,,44.0,,,,4.0,5.0,,,,,,
2022-01-08,,,,,,,89,1.0,,,,,,,,,,30.0,3.0,,,,,,,,,53.0,,,,2.0,,,,,,,
2022-01-09,,,,,,,99,1.0,,,,,,,,,,15.0,23.0,,,,,,,,,60.0,,,,,,,,,,,
2022-01-10,,,,,,,121,,,,,,,,,,,13.0,21.0,,,,,,,,,87.0,,,,,,,,,,,
2022-01-11,,,,,,,170,8.0,,,,,,,,,,8.0,36.0,,,,,,,,,118.0,,,,,,,,,,,
2022-01-12,,,,,,,133,2.0,,,,,,1.0,,,,6.0,46.0,,,,2.0,,,,,76.0,,,,,,,,,,,
2022-01-13,,,,,,,146,1.0,,,,,,,,,,8.0,34.0,,,,,,,,,98.0,,,,,5.0,,,,,,
2022-01-14,,,,,,,104,9.0,,,,,,,,,,4.0,38.0,,,,,,,,,52.0,,,,1.0,,,,,,,
2022-01-15,,,,,,,64,2.0,,1.0,,,,,,,,1.0,27.0,,,,,,,,,29.0,,,,1.0,3.0,,,,,,
2022-01-16,,,,,,,162,8.0,,,,,,,1.0,,,5.0,80.0,,,,,,,,,68.0,,,,,,,,,,,
2022-01-17,,,,,,,128,5.0,,1.0,,,,,,,,1.0,18.0,,,,1.0,,,,,102.0,,,,,,,,,,,
2022-01-18,,,,,,,55,8.0,,2.0,,,,,,,,,12.0,,,,,,,,,33.0,,,,,,,,,,,
2022-01-19,,,,,,,38,4.0,,2.0,,,,,,,,,8.0,,,,,,,,,24.0,,,,,,,,,,,
2022-01-20,,,,,,,25,4.0,,5.0,,,,2.0,,,,3.0,8.0,,,,,,,,,3.0,,,,,,,,,,,
2022-01-21,,,,,,,29,3.0,,16.0,,,,,,,,,6.0,,,,,,,,,4.0,,,,,,,,,,,
2022-01-22,,,,,,,25,4.0,,12.0,,,,3.0,,,,,5.0,,,,,,,,,1.0,,,,,,,,,,,
2022-01-23,,,,,,,21,0.0,,7.0,1.0,,2.0,3.0,,,,,1.0,,3.0,,,,,3.0,,1.0,,,,,,,,,,,
2022-01-24,,,,,,,36,,,6.0,,,22.0,,,,,,1.0,,,,1.0,,,2.0,,3.0,,,,,1.0,,,,,,
2022-01-25,,,,,,,44,1.0,,19.0,,,8.0,,,13.0,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,
2022-01-26,,,,,,,40,,,4.0,,,4.0,,,15.0,,,1.0,,,,,,,4.0,,1.0,,,,6.0,1.0,,,,1.0,,3.0
2022-01-27,,,,,,,49,,,7.0,,,,,,18.0,,,4.0,1.0,,,,,,,,,,,,16.0,,,1.0,,,,2.0
2022-01-28,,,,,,,40,,,5.0,1.0,,4.0,,,2.0,,,5.0,,,,,,,1.0,,2.0,,,,18.0,,,,,,,2.0
2022-01-29,,,,,,,67,,,18.0,,,1.0,1.0,,20.0,,,4.0,,,,,,,,,2.0,,,,19.0,,,,,,,2.0
2022-01-30,,,,,,,43,,,3.0,,,,,,5.0,,,11.0,,,,,,,,,0.0,,,,24.0,,,,,,,
2022-01-31,,,,,,,28,1.0,,3.0,,,,,,,,,7.0,,,,,,,4.0,,,,,,13.0,,,,,,,
