,商品房销售面积,商品房销售面积,商品房销售面积,商品房销售面积,商品房销售面积,商品房销售面积,商品房销售面积,商品房销售额,商品房销售额,商品房销售额,商品房销售额,商品房销售额,商品房销售额,商品房销售额,商品房出租面积,商品房出租面积,商品房出租面积,商品房出租面积,商品房出租面积,商品房出租面积,商品房出租面积
,商品房销售面积,住宅,住宅,住宅,非住宅,非住宅,非住宅,商品房销售额,住宅,住宅,住宅,非住宅,非住宅,非住宅,商品房出租面积,住宅,住宅,住宅,非住宅,非住宅,非住宅
,商品房销售面积,住宅,别墅、高档公寓,普通住宅,办公楼,商业营业用房,其他,商品房销售额,住宅,别墅、高档公寓,普通住宅,办公楼,商业营业用房,其他,商品房出租面积,住宅,别墅、高档公寓,普通住宅,办公楼,商业营业用房,其他
1995,5676600.0,5363100.0,163100.0,5200000.0,40300.0,68900.0,204300.0,14601000000.0,13283000000.0,1098000000.0,12185000000.0,228000000.0,285000000.0,805000000.0,509500.0,183400.0,26100.0,157300.0,73400.0,111900.0,140800.0
2000,15578700.0,14458700.0,534400.0,13924300.0,477600.0,545400.0,97000.0,55545000000.0,48097000000.0,3265000000.0,44832000000.0,4405000000.0,2787000000.0,256000000.0,3583800.0,592900.0,374300.0,218600.0,1561500.0,620400.0,809100.0
2003,23764000.0,22244700.0,2176600.0,20068100.0,451800.0,780500.0,287000.0,122000000000.0,111000000000.0,14233000000.0,96753000000.0,4387000000.0,5043000000.0,1218000000.0,6537800.0,768400.0,304200.0,464200.0,1936600.0,1554800.0,2278000.0
2004,34887500.0,32337400.0,3420200.0,28917200.0,848300.0,1215700.0,486100.0,226000000000.0,206000000000.0,34328000000.0,172000000000.0,9071000000.0,8488000000.0,2351000000.0,7066100.0,774200.0,400400.0,373800.0,2247400.0,1608700.0,2435800.0
2005,31588700.0,28457000.0,4493800.0,23963200.0,978900.0,1502000.0,650900.0,216130000000.0,190605000000.0,39005000000.0,151600000000.0,11617000000.0,10665000000.0,3243000000.0,8896300.0,944400.0,615500.0,328900.0,3000400.0,2045300.0,2906200.0
2006,30254000.0,26154900.0,4985600.0,21169300.0,1390500.0,1885100.0,823500.0,218000000000.0,184000000000.0,54019000000.0,130000000000.0,16795000000.0,12213000000.0,4596000000.0,9777700.0,786300.0,688800.0,97500.0,3329100.0,2348500.0,3313800.0
2007,36949600.0,32791700.0,5031400.0,27760300.0,1509300.0,1983800.0,664700.0,309000000000.0,271000000000.0,65404000000.0,205000000000.0,21467000000.0,13119000000.0,3719000000.0,11286900.0,1103800.0,868500.0,235300.0,3436000.0,2704200.0,4042800.0
2008,22961200.0,19658600.0,2594900.0,17063700.0,1458700.0,1172700.0,671200.0,190000000000.0,161000000000.0,33323000000.0,128000000000.0,17229000000.0,7751000000.0,3717000000.0,11411900.0,927400.0,737900.0,189500.0,3528900.0,3180100.0,3775500.0
2009,33724500.0,29280400.0,4504200.0,24776200.0,2030000.0,1264900.0,1149200.0,433000000000.0,362000000000.0,99681000000.0,262000000000.0,43843000000.0,19273000000.0,7884000000.0,12229100.0,1026300.0,743600.0,282700.0,4255500.0,3499100.0,3448200.0
2010,20555300.0,16853500.0,3417100.0,13436400.0,1628900.0,1255600.0,817200.0,296000000000.0,240000000000.0,85262000000.0,154000000000.0,30767000000.0,19757000000.0,5934000000.0,12624700.0,857200.0,761800.0,95400.0,5161800.0,3733400.0,2872300.0
2011,17713000.0,14737200.0,2373200.0,12364000.0,1474000.0,955700.0,546100.0,257000000000.0,198000000000.0,63727000000.0,134000000000.0,37181000000.0,18166000000.0,3349000000.0,13054700.0,876800.0,754000.0,122800.0,5782300.0,3927000.0,2468600.0
2012,18984600.0,15926300.0,2345600.0,13580700.0,1117300.0,1200100.0,741000.0,267000000000.0,221000000000.0,66135000000.0,155000000000.0,23462000000.0,19462000000.0,3129000000.0,13552000.0,924300.0,732600.0,191700.0,6438300.0,3964500.0,2224800.0
2013,23822000.0,20158100.0,3142000.0,17016100.0,1612200.0,1164700.0,887100.0,391000000000.0,326000000000.0,90858000000.0,236000000000.0,38085000000.0,22471000000.0,4198000000.0,12063700.0,753200.0,636100.0,117100.0,5581900.0,3640000.0,2088700.0
2014,20846600.0,17809100.0,2572400.0,15236700.0,1202800.0,1028600.0,806100.0,350000000000.0,292000000000.0,85954000000.0,206000000000.0,30043000000.0,22644000000.0,4922000000.0,11424600.0,721600.0,603900.0,117700.0,5026500.0,3739900.0,1936600.0
2015,24313600.0,20091700.0,3909700.0,16182000.0,1974100.0,1137000.0,1110800.0,509000000000.0,432000000000.0,146000000000.0,286000000000.0,48868000000.0,22789000000.0,5705000000.0,12024200.0,1205900.0,662600.0,543300.0,5018600.0,3670200.0,2129500.0
2016,27056900.0,20198000.0,4454200.0,15743800.0,3064000.0,2058700.0,1736200.0,670000000000.0,523000000000.0,190000000000.0,333000000000.0,90317000000.0,47049000000.0,8890000000.0,13225100.0,834100.0,620800.0,213300.0,5784400.0,4152500.0,2454100.0
2017,16916000.0,13416200.0,2120400.0,11295800.0,1241000.0,793300.0,1465500.0,403000000000.0,334000000000.0,115000000000.0,218000000000.0,39407000000.0,20823000000.0,8828000000.0,16463000.0,1101500.0,554300.0,547200.0,6924200.0,5420900.0,3016300.0
