项目,2009年1季度,2009年上半年,2009年前3季度,2009年
一、税收收入合计,15530119,32520119,50068452,66751724
国内增值税,3705676,7526915,11328520,15074853
国内消费税,763038,1547215,2433809,3431119
海关代征进口环节增值税和消费税,3500925,7187987,11417703,15551023
营业税,2039581,4008336,6371848,8397182
企业所得税(内资),1699588,3914960,5718930,7537645
企业所得税(涉外),1042582,2559702,3667062,4773467
个人所得税,1679643,2961714,4390847,5617193
城镇土地使用税,24307,82047,101205,236507
投资方向调节税,0,0,1,1
城市维护建设费,186661,361246,567559,761962
证券交易印花税,536108,1407072,2527513,3326868
其他印花税,76880,150435,294581,364203
土地增值税,106838,248725,481583,612271
房产税,74481,364936,447771,628950
车船税,16955,35927,53924,70941
车辆购置税,76856,162902,265596,367539
二、出口退税,-1890393,-3567420,-5266224,-6796100
