项目,2012年一季度,2012年上半年,2012年前三季度,2012年
一、税收收入合计,30387178,59013176,82769702,104090013
国内增值税,5568731,11166965,16333988,21152918
国内消费税,2190183,3578491,5065694,6334893
海关代征进口环节增值税和消费税,8561131,15351963,22248002,28833995
营业税,3046009,5036823,7167276,8979187
企业所得税,5659582,13741290,17833237,21158728
个人所得税,2477906,4469155,6318258,7952383
城镇土地使用税,71400,206839,229702,318149
固定资产投资方向调节税,0,0,0,0
城市维护建设税,484643,833422,1212252,1558975
证券交易印花税,489669,962039,1317400,1589699
其他印花税,154373,304922,430464,526119
土地增值税,747674,1498506,2052958,2331001
房产税,306002,673263,702478,925594
车船税,29854,68045,108435,146403
车辆购置税,190857,356882,542892,697704
资源税,978,2174,3237,4194
契税,361002,681594,1098456,1459646
耕地占用税,47184,80803,104973,120425
二、出口退税,-1966214,-4480011,-6631110,-8178426
