项目,2020年第一季度,2020年上半年,2020年前三季度,2020年
一、税收收入合计,44836567,88719229,128241563,159648539
国内增值税,15099373,26313553,37706765,46612808
国内消费税,3512580,6042262,8186341,8405203
海关代征进口环节增值税和消费税,6314174,13281833,21661733,29121312
企业所得税,9787153,22178485,29269904,35755577
个人所得税,4658401,8486753,12567667,16997912
城镇土地使用税,13515,110097,112851,180986
城市维护建设税,815798,1407077,2089668,2719049
证券交易印花税,1529129,3563867,6566287,6766520
其他印花税,263885,489621,719827,990563
土地增值税,1603086,3428250,4286415,4976779
房产税,287440,1220466,1266233,1987479
车船税,45328,98675,151639,206105
车辆购置税,182473,442526,746812,1021467
资源税,4878,8962,12946,14494
契税,714444,1619241,2816219,3801027
耕地占用税,8618,26582,75260,82933
环境保护税,4739,9613,15039,19525
其他税收,-8447,-8634,-10043,-11200
二、出口退税,-3742806,-8077862,-10359609,-12218148
