项目,2011年一季度,2011年上半年,2011年前三季度,2011年
一、税收收入合计,27646699,55351631,78119488,95950067
国内增值税,4977839,8991659,12971463,16824083
国内消费税,1744638,3056182,4512449,5703456
海关代征进口环节增值税和消费税,7888168,15126106,22268959,27663269
营业税,3306275,5764496,8278321,10415362
企业所得税,4757159,12939491,17096289,19645655
个人所得税,2548376,4588649,6480391,7873822
城镇土地使用税,55604,175248,199918,290991
固定资产投资方向调节税,26,32,32,32
城市维护建设税,432925,771621,1125434,1432888
证券交易印花税,734587,1551585,2127021,2482897
其他印花税,114744,227662,352381,444029
土地增值税,795707,1269933,1573449,1682164
房产税,131638,510961,551488,736625
车船税,25474,54631,81427,108669
车辆购置税,133539,323375,500466,646125
二、出口退税,-1729051,-3518461,-5436096,-7148864
