项目,2013年第一季度,2013年上半年,2013年前三季度,2013年
一、税收收入合计,29762916,59600906,85761491,109220119
国内增值税,6935690,12805907,18624666,23862121
国内消费税,2549966,4083377,5708870,7043746
海关代征进口环节增值税和消费税,5803887,12356101,19548583,26788183
营业税,3127167,5338312,7603261,9622132
企业所得税,5489213,14025899,18679260,22069905
个人所得税,2756798,4933934,7012839,8880501
城镇土地使用税,55469,186891,210502,307742
固定资产投资方向调节税,0,0,0,0
城市维护建设税,556897,942202,1363168,1733661
证券交易印花税,658111,1140815,1757635,2330973
其他印花税,152444,275018,410326,522006
土地增值税,637204,1239349,1703179,1973704
房产税,220470,626891,674357,930531
车船税,46552,93967,136736,178801
车辆购置税,180121,357673,548845,700773
资源税,867,1218,2353,3373
契税,553049,1132571,1672361,2150713
耕地占用税,39011,60781,104550,121254
二、出口退税,-2308853,-4585901,-6856332,-8609241
