,居民人均可支配收入,居民人均可支配收入,居民人均可支配收入,居民人均可支配收入,居民人均可支配收入,居民人均消费支出,居民人均消费支出,居民人均消费支出,居民人均消费支出,居民人均消费支出,居民人均消费支出,居民人均消费支出,居民人均消费支出,居民人均消费支出
,合计,工资性收入,经营净收入,财产净收入,转移净收入,合计,食品烟酒,衣着,居住,生活用品及服务,医疗保健,交通通信,教育文化娱乐,其他用品及服务
1980,637,551,,,86,553.0,310.0,79.0,26.0,50.0,7.0,20.0,49.0,12.0
1985,1075,794,1.0,,280,992.0,517.0,148.0,43.0,131.0,5.0,30.0,91.0,27.0
1990,2183,1548,1.0,21.0,613,1937.0,1095.0,208.0,90.0,196.0,11.0,58.0,231.0,48.0
1995,7172,5002,69.0,92.0,2009,5868.0,3131.0,561.0,401.0,637.0,113.0,321.0,508.0,196.0
1996,8159,5889,87.0,61.0,2122,,,,,,,,,
1997,8439,5969,150.0,69.0,2251,,,,,,,,,
1998,8773,6004,98.0,57.0,2614,,,,,,,,,
1999,10932,7326,156.0,68.0,3382,,,,,,,,,
2000,11718,7832,120.0,65.0,3701,8868.0,3947.0,567.0,794.0,683.0,501.0,759.0,1287.0,330.0
2001,12883,7975,119.0,39.0,4750,9336.0,4056.0,577.0,796.0,579.0,558.0,958.0,1422.0,390.0
2002,13250,7915,436.0,94.0,4805,10464.0,4120.0,613.0,1189.0,653.0,734.0,1115.0,1668.0,372.0
2003,14867,10097,377.0,130.0,4263,11040.0,4102.0,751.0,1280.0,792.0,603.0,1259.0,1834.0,419.0
2004,16683,11422,507.0,215.0,4539,12631.0,4593.0,797.0,1327.0,780.0,762.0,1703.0,2195.0,474.0
2005,18645,12409,798.0,292.0,5146,13773.0,4940.0,940.0,1412.0,800.0,797.0,1984.0,2273.0,627.0
2006,20668,13962,959.0,300.0,5447,14762.0,5249.0,1027.0,1436.0,877.0,763.0,2333.0,2432.0,645.0
2007,23623,16598,1158.0,369.0,5498,17255.0,6125.0,1330.0,1412.0,959.0,857.0,3154.0,2654.0,764.0
2008,26675,18909,1399.0,369.0,5998,19398.0,7109.0,1521.0,1646.0,1182.0,755.0,3373.0,2875.0,937.0
2009,28838,19811,1435.0,474.0,7118,20992.0,7345.0,1593.0,1913.0,1365.0,1002.0,3499.0,3139.0,1136.0
2010,31838,21745,1628.0,511.0,7954,23200.0,7777.0,1794.0,2166.0,1800.0,1006.0,4076.0,3363.0,1218.0
2011,36230,24454,1994.0,633.0,9149,25102.0,8906.0,2054.0,2226.0,1826.0,1141.0,3808.0,3746.0,1395.0
2012,40188,26752,2267.0,576.0,10593,26253.0,9656.0,2111.0,1790.0,1906.0,1017.0,4564.0,3724.0,1485.0
2013,43851,28518,2317.0,788.0,12228,28155.0,9823.0,2032.0,2848.0,1706.0,1350.0,4736.0,4122.0,1538.0
2014,47710,30629,2345.0,846.0,13890,30520.0,10677.0,2038.0,3031.0,1779.0,1449.0,4885.0,4931.0,1730.0
