,出让地块,出让地块,出让地块,出让地块,出让地块,出让地块,出让地块,出让面积,出让面积,出让面积,出让面积,出让面积,出让面积,出让面积
,合计,住宅,商业服务,工业仓储,工矿仓储,公共建筑,公用设施,合计,住宅,商业服务,工业仓储,工矿仓储,公共建筑,公用设施
2009,615.0,122.0,106.0,,377.0,8.0,2.0,26611000.0,8669900.0,4134100.0000000005,,13640200.0,147500.0,19300.0
2010,621.0,152.0,97.0,,362.0,10.0,,28537100.0,12538599.999999998,4238300.0,,11701400.000000002,58800.0,
2011,843.0,208.0,138.0,,491.0,6.0,,32263600.0,12406900.0,4498300.0,,15304900.0,53500.0,
2012,684.0,133.0,98.0,,449.0,4.0,,24625500.0,6849700.0,2966300.0,,14702900.0,106600.0,
2013,622.0,176.0,117.0,,329.0,,,22158000.0,8662000.0,3327000.0,,10169000.0,,
2014,462.0,124.0,60.0,,278.0,,,17121400.0,5882600.0,2312700.0,,8926100.0,,
2015,246.0,126.0,54.0,61.0,,5.0,,11888300.0,6585400.0,1938100.0,3174000.0,,190799.99999999997,
2016,226.0,93.0,55.0,63.0,,15.0,,9083600.0,4067000.0,1457000.0,3139000.0,,420600.0,
2017,317.0,160.0,49.0,101.0,,7.0,,11861700.0,7342300.0,1304000.0,3126800.0,,88600.0,
2018,298.0,150.0,47.0,92.0,,9.0,,13161000.0,6722900.0,1389600.0,4590400.0,,458100.0,
2019,522.0,219.0,93.0,199.0,,11.0,,22833900.0,10041400.0,2310200.0,10249700.0,,232600.00000000003,
2020,362.0,182.0,52.0,110.0,,18.0,,15757000.0,8328099.999999999,1119800.0,5701000.0,,608100.0,
