年份,成交套数,成交面积,成交面积,成交面积,成交面积,成交面积
年份,成交套数,成交面积,住宅,办公楼,商业营业用房,其它
1994,2821,317600.0,105900.0,,,
1995,4176,608700.0,197000.0,,,
1996,4689,822900.0000000001,250900.0,,,
1997,9180,1624000.0,876800.0000000001,239500.0,149500.0,358200.0
1998,24501,3152300.0,1975600.0,214899.99999999997,182800.0,779000.0
1999,44234,5108400.0,3366900.0,376300.0,146100.0,1219100.0
2000,96348,7785200.0,6482300.0,394799.99999999994,216500.0,691600.0
2001,164598,14224300.0,10314800.0,569900.0,572400.0,2767200.0
2002,204239,17905000.0,13416000.0,657000.0,918000.0,2914000.0
2003,263297,23062800.000000004,18075700.0,1051400.0,1142800.0,2792900.0000000037
2004,303291,27267000.0,22222399.999999996,1171200.0,1213900.0,2659500.0000000037
2005,189896,19715000.0,16082000.0,881000.0,780000.0,1972000.0
2006,184194,17068100.0,13752200.0,673500.0,465300.0,2177100.0
2007,213733,19925900.0,17150500.0,497299.99999999994,363400.00000000006,1914700.0
2008,142224,14134100.0,11071700.0,406100.0,420400.0,2235900.0
2009,312857,28094500.0,24905800.0,481900.0,435900.00000000006,2270900.0
2010,202511,19668600.0,15222100.0,683100.0,706100.0,3057300.0
2011,146151,13986700.0,10587100.0,628700.0,512100.0,2258800.0
2012,157585,14467700.0,11361700.0,573400.0,467100.0,2065500.0
2013,291176,25757000.0,22280200.0,655900.0,471800.0,2349100.0
2014,177083,15861400.000000002,13241800.0,526100.0,409000.0,1684500.0000000019
2015,303414,26478300.0,23513000.0,522700.00000000006,416200.0,2026400.0
2016,347667,32198000.0,22254200.0,4508900.0,2610400.0,2824500.0
2017,179385,15635300.0,12641300.000000002,807500.0,602600.0,1583899.9999999981
2018,175061,15491199.999999998,12290100.0,774500.0,584700.0,1841899.9999999981
2019,242254,20289300.0,17331500.0,696500.0,541900.0,1719400.0
2020,303244,24954300.0,22462300.0,694000.0,488300.0,1309700.0
