,一般公共预算收入,一般公共预算收入,一般公共预算收入,一般公共预算支出
,合计,税收收入,非税收入,合计
1978,16922000000.0,5151000000.0,11771000000.0,2601000000.0
1979,17269000000.0,5373000000.0,11896000000.0,2706000000.0
1980,17473000000.0,5759000000.0,11714000000.0,1918000000.0
1981,17435000000.0,6293000000.0,11142000000.0,1906000000.0
1982,16799000000.0,6579000000.000001,10220000000.0,2068000000.0
1983,15639000000.0,11005000000.0,4634000000.0,2239000000.0
1984,16395999999.999998,13766999999.999998,2629000000.0,3032000000.0
1985,18423000000.0,18576000000.0,-153000000.0,4607000000.0
1986,17946000000.0,17790000000.0,156000000.0,5908000000.0
1987,16897000000.0,16726000000.0,171000000.0,5385000000.0
1988,16162000000.0,18242000000.0,-2080000000.0,6588000000.0
1989,16688000000.0,19021000000.0,-2333000000.0,7331000000.0
1990,16699000000.0,18331000000.0,-1632000000.0,7556000000.0
1991,17553000000.0,18288000000.0,-735000000.0,8605000000.0
1992,18556000000.0,18861000000.0,-305000000.0,9499000000.0
1993,24234000000.0,25299000000.0,-1065000000.0,12926000000.0
1994,17533000000.0,19660000000.0,-2127000000.0,19698000000.0
1995,22730000000.0,24006000000.0,-1276000000.0,26789000000.0
1996,28849000000.0,30826000000.0,-1977000000.0,34266000000.000004
1997,35233000000.0,36923000000.0,-1689999999.9999998,42892000000.0
1998,39222000000.0,40673000000.0,-1451000000.0,48070000000.0
1999,43185000000.0,42723000000.0,462000000.0,54638000000.0
2000,49796000000.0,48400000000.0,1396000000.0,62284000000.0
2001,62024000000.0,58991000000.0,3033000000.0,72638000000.0
2002,71979000000.0,65770000000.00001,6209000000.0,87784000000.0
2003,89929000000.0,79687000000.0,10242000000.0,110264000000.00002
2004,111972000000.0,103623000000.0,8348999999.999999,139569000000.0
2005,143390000000.0,123840000000.00002,19550000000.0,166032000000.0
2006,160037000000.0,139397000000.0,20640000000.0,181380000000.0
2007,210263000000.0,197548000000.0,12715000000.0,220192000000.0
2008,238234000000.0,222343000000.0,15891000000.0,261768000000.0
2009,254030000000.0,236845000000.0,17185000000.0,298965000000.0
2010,287358000000.0,270780000000.00003,16578000000.0,330289000000.0
2011,342983000000.0,317272000000.0,25711000000.0,391488000000.0
2012,374371000000.0,342679000000.0,31692000000.0,418402000000.00006
2013,410951000000.0,379716000000.0,31235000000.000004,452861000000.0
2014,458555000000.0,421905000000.0,36650000000.0,492344000000.0
2015,551950000000.0,485816000000.0,66134000000.0,619156000000.0
2016,640613000000.0,562590000000.0,78023000000.0,691894000000.0
2017,664226000000.0,586551000000.0,77675000000.0,754762000000.0
2018,710815000000.0,628504000000.0,82311000000.0,835154000000.0001
2019,716510000000.0,621629000000.0,94881000000.0,817928000000.0
2020,704630000000.0,584188000000.0,120442000000.0,810211000000.0
2021,777180000000.0,660670000000.0,116509999999.99998,843090000000.0
