,一般公共预算收入,一般公共预算收入,一般公共预算支出
,税收收入,非税收入,一般公共预算支出
1978,5151000000.0,11771000000.0,2601000000.0
1979,5373000000.0,11896000000.0,2706000000.0
1980,5759000000.0,11714000000.0,1918000000.0
1981,6293000000.0,11142000000.0,1905999999.9999998
1982,6579000000.000001,10220000000.0,2068000000.0
1983,11005000000.0,4634000000.0,2239000000.0
1984,13766999999.999998,2629000000.0,3032000000.0
1985,18576000000.0,-153000000.0,4607000000.0
1986,17790000000.0,156000000.0,5908000000.0
1987,16726000000.0,171000000.0,5385000000.0
1988,18242000000.0,-2080000000.0,6588000000.0
1989,19021000000.0,-2333000000.0,7331000000.0
1990,18331000000.0,-1632000000.0,7556000000.0
1991,18288000000.0,-735000000.0,8605000000.0
1992,18861000000.0,-305000000.0,9499000000.0
1993,25299000000.0,-1065000000.0,12926000000.0
1994,19660000000.0,-2127000000.0,19698000000.0
1995,24006000000.0,-1276000000.0,26789000000.0
1996,30826000000.0,-1977000000.0,34266000000.000004
1997,36923000000.0,-1689999999.9999998,42892000000.0
1998,40673000000.0,-1451000000.0,48070000000.0
1999,42723000000.0,462000000.0,54638000000.0
2000,48400000000.0,1396000000.0,62284000000.0
2001,58991000000.0,3033000000.0,72638000000.0
2002,65770000000.00001,6209000000.0,87784000000.0
2003,79687000000.0,10242000000.0,110264000000.00002
2004,103623000000.0,8348999999.999999,139569000000.0
2005,123840000000.00002,19550000000.0,166032000000.0
2006,139397000000.0,20640000000.0,181380000000.0
2007,197548000000.0,12715000000.0,220192000000.0
2008,222342999999.99997,15891000000.0,261767999999.99997
2009,236844999999.99997,17185000000.0,298965000000.0
2010,270780000000.00003,16578000000.0,330289000000.0
2011,317272000000.0,25711000000.0,391488000000.0
2012,342679000000.0,31692000000.0,418402000000.00006
2013,379716000000.0,31235000000.000004,452860999999.99994
2014,421905000000.0,36650000000.0,492343999999.99994
2015,485816000000.0,66134000000.0,619156000000.0
2016,562590000000.0,78023000000.0,691894000000.0
2017,586551000000.0,77675000000.0,754762000000.0
2018,628504000000.0,82311000000.0,835154000000.0001
2019,621629000000.0,94881000000.0,817928000000.0
2020,584188000000.0,120442000000.0,810211000000.0
2021,660670000000.0,116509999999.99998,843090000000.0
