,社会融资规模存量 AFRE(stock),人民币贷款 RMB loans,外币贷款（折合人民币） Foreign currency-denominated loans (RMB equivalent),委托贷款 Entrusted loans,信托贷款 Trust loans,未贴现银行承兑汇票 Undiscounted bankers' acceptances,企业债券 Net financing of corporate bonds,政府债券 Government bonds,非金融企业境内股票 Equity financing on the domestic stock market by non-financial enterprises,存款类金融机构资产支持证券 Asset-backed securities of depository financial institutions,贷款核销 Loans written off
2017-01-31,184143300000000.0,107499300000000.0,2612900000000.0,13509700000000.0,6525800000000.0,4515200000000.0,18122500000000.0,22640000000000.0,5894800000000.0,474900000000.0,1261500000000.0
2017-02-28,185247500000000.0,108531100000000.0,2656000000000.0,13627800000000.0,6632000000000.0,4343400000000.0,18057100000000.0,22620900000000.0,5951800000000.0,473900000000.0,1276400000000.0
2017-03-31,187788000000000.0,109689700000000.0,2694200000000.0,13832100000000.0,6943200000000.0,4582400000000.0,18109600000000.0,22943900000000.0,6031800000000.0,490300000000.0,1361000000000.0
2017-04-30,189713900000000.0,110770200000000.0,2663500000000.0,13827300000000.0,7090500000000.0,4616800000000.0,18178200000000.0,23537800000000.0,6108700000000.0,439800000000.0,1382000000000.0
2017-05-31,191456700000000.0,111948300000000.0,2642000000000.0,13799900000000.0,7271800000000.0,4492300000000.0,17959700000000.0,24188300000000.0,6154500000000.0,469200000000.0,1409700000000.0
2017-06-30,193969600000000.0,113395700000000.0,2615000000000.0,13797300000000.0,7519800000000.0,4469400000000.0,17967600000000.0,24845400000000.0,6203200000000.0,480500000000.0,1540600000000.0
2017-07-31,195981900000000.0,114310900000000.0,2576000000000.0,13816000000000.0,7643000000000.0,4265700000000.0,18193800000000.0,25792600000000.0,6256800000000.0,430000000000.0,1561100000000.0
2017-08-31,197944300000000.0,115457500000000.0,2494400000000.0,13809000000000.0,7762300000000.0,4289900000000.0,18363700000000.0,26234600000000.0,6322100000000.0,474600000000.0,1586100000000.0
2017-09-30,200437100000000.0,116646000000000.0,2484500000000.0,13887300000000.0,7999100000000.0,4368300000000.0,18520900000000.0,26783200000000.0,6374000000000.0,507000000000.0,1713700000000.0
2017-10-31,201956000000000.0,117309500000000.0,2481200000000.0,13898100000000.0,8101000000000.0,4369500000000.0,18661500000000.0,27280000000000.0,6434100000000.0,513100000000.0,1740800000000.0
2017-11-30,204192400000000.0,118452300000000.0,2487300000000.0,13928700000000.0,8244400000000.0,4371000000000.0,18773900000000.0,27877900000000.0,6566400000000.0,537900000000.0,1788900000000.0
2017-12-31,205909800000000.0,119029300000000.0,2478000000000.0,13994800000000.0,8468900000000.0,4438600000000.0,18846700000000.0,28153800000000.0,6648100000000.0,685500000000.0,1994800000000.0
2018-01-31,208880400000000.0,121701000000000.0,2456600000000.0,13918200000000.0,8523300000000.0,4583700000000.0,18983800000000.0,28154400000000.0,6698100000000.0,671800000000.0,2026800000000.0
2018-02-28,210049000000000.0,122721000000000.0,2463500000000.0,13843200000000.0,8589300000000.0,4594200000000.0,19066300000000.0,28171900000000.0,6736000000000.0,657200000000.0,2052800000000.0
2018-03-31,211618800000000.0,123863400000000.0,2461300000000.0,13658200000000.0,8553600000000.0,4562000000000.0,19358600000000.0,28353500000000.0,6776400000000.0,695900000000.0,2176300000000.0
2018-04-30,213718400000000.0,124962200000000.0,2478700000000.0,13510100000000.0,8544200000000.0,4707300000000.0,19669200000000.0,28883800000000.0,6829700000000.0,778000000000.0,2202200000000.0
2018-05-31,214812700000000.0,126101800000000.0,2485200000000.0,13353100000000.0,8453800000000.0,4533300000000.0,19631300000000.0,29156600000000.0,6873500000000.0,815700000000.0,2250000000000.0
2018-06-30,216782900000000.0,127780500000000.0,2526200000000.0,13188800000000.0,8291500000000.0,4168300000000.0,19679700000000.0,29807500000000.0,6899300000000.0,842900000000.0,2423800000000.0
2018-07-31,218490600000000.0,129066600000000.0,2523900000000.0,13093800000000.0,8172300000000.0,3894000000000.0,19753100000000.0,30607300000000.0,6916800000000.0,855100000000.0,2441400000000.0
2018-08-31,220739800000000.0,130380600000000.0,2492600000000.0,12973100000000.0,8103500000000.0,3816100000000.0,20009400000000.0,31472500000000.0,6930900000000.0,905300000000.0,2479100000000.0
2018-09-30,222902900000000.0,131814700000000.0,2445200000000.0,12829900000000.0,8015600000000.0,3761300000000.0,19913200000000.0,32383300000000.0,6958100000000.0,994800000000.0,2640600000000.0
2018-10-31,223747000000000.0,132528800000000.0,2395100000000.0,12735000000000.0,7888300000000.0,3716000000000.0,19973700000000.0,32686500000000.0,6975600000000.0,1013500000000.0,2685200000000.0
2018-11-30,225238900000000.0,133759100000000.0,2306500000000.0,12604000000000.0,7841600000000.0,3703300000000.0,20330100000000.0,32661800000000.0,6995600000000.0,1129200000000.0,2758100000000.0
2018-12-31,227035600000000.0,134687200000000.0,2212400000000.0,12383000000000.0,7792000000000.0,3805600000000.0,20701700000000.0,33006900000000.0,7008700000000.0,1279500000000.0,3010200000000.0
2019-01-31,231547600000000.0,138255300000000.0,2183300000000.0,12309400000000.0,7826500000000.0,4184300000000.0,21164400000000.0,33176900000000.0,7037600000000.0,1232900000000.0,3035100000000.0
2019-02-28,232410200000000.0,139019400000000.0,2168800000000.0,12258600000000.0,7822800000000.0,3873900000000.0,21193800000000.0,33611600000000.0,7049500000000.0,1231500000000.0,3055200000000.0
2019-03-31,235240000000000.0,140977800000000.0,2183100000000.0,12151500000000.0,7875600000000.0,4010500000000.0,21466700000000.0,33952800000000.0,7061700000000.0,1257600000000.0,3177900000000.0
2019-04-30,236811800000000.0,141851100000000.0,2148400000000.0,12031900000000.0,7888500000000.0,3974800000000.0,21830600000000.0,34396100000000.0,7087900000000.0,1281900000000.0,3209500000000.0
