nan,社会融资规模存量 AFRE(stock),人民币贷款 RMB loans,外币贷款（折合人民币） Foreign currency-denominated loans (RMB equivalent),委托贷款 Entrusted loans,信托贷款 Trust loans,未贴现银行承兑汇票 Undiscounted bankers' acceptances,企业债券 Net financing of corporate bonds,政府债券 Government bonds,非金融企业境内股票 Equity financing on the domestic stock market by non-financial enterprises,存款类金融机构资产支持证券 Asset-backed securities of depository financial institutions,贷款核销 Loans written off
2021-01-31,289740000000000.0,175410000000000.0,2200000000000.0,11050000000000.0,6280000000000.0,4000000000000.0,27830000000000.0,46290000000000.0,8350000000000.0,1890000000000.0,5320000000000.0
2021-02-28,291360000000000.0,176760000000000.0,2250000000000.0,11040000000000.0,6190000000000.0,4059999999999.9995,27930000000000.0,46390000000000.0,8420000000000.0,1870000000000.0,5350000000000.0
2021-03-31,294560000000000.0,179510000000000.0,2310000000000.0,11040000000000.0,6010000000000.0,3830000000000.0,28170000000000.0,46710000000000.0,8500000000000.0,1920000000000.0,5460000000000.0
2021-04-30,296150000000000.0,180790000000000.0,2250000000000.0,11020000000000.0,5870000000000.0,3610000000000.0,28390000000000.0,47080000000000.0,8580000000000.0,1940000000000.0,5510000000000.0
2021-05-31,297980000000000.0,182220000000000.0,2210000000000.0,10980000000000.0,5740000000000.0,3520000000000.0,28260000000000.0,47750000000000.0,8650000000000.0,1960000000000.0,5540000000000.0
2021-06-30,301560000000000.0,184540000000000.0,2320000000000.0,10930000000000.0,5640000000000.0,3500000000000.0,28580000000000.0,48500000000000.0,8740000000000.0,1960000000000.0,5720000000000.0
2021-07-31,302470000000000.0,185380000000000.0,2310000000000.0,10910000000000.0,5480000000000.0,3270000000000.0,28810000000000.0,48680000000000.0,8840000000000.0,1960000000000.0,5750000000000.0
2021-08-31,305290000000000.0,186650000000000.0,2350000000000.0,10930000000000.0,5350000000000.0,3280000000000.0,29190000000000.0,49660000000000.0,8990000000000.0,1990000000000.0,5800000000000.0
2021-09-30,308050000000000.0,188420000000000.0,2350000000000.0,10930000000000.0,5140000000000.0,3280000000000.0,29250000000000.0,50460000000000.0,9060000000000.0,2049999999999.9998,5950000000000.0
2021-10-31,309450000000000.0,189200000000000.0,2310000000000.0,10910000000000.0,5030000000000.0,3190000000000.0,29360000000000.0,51080000000000.0,9150000000000.0,2040000000000.0,5990000000000.0
2021-11-30,311900000000000.0,190500000000000.0,2300000000000.0,10920000000000.0,4810000000000.0,3160000000000.0,29720000000000.0,51900000000000.0,9280000000000.0,2109999999999.9998,6040000000000.0
2021-12-31,314120000000000.0,191540000000000.0,2230000000000.0,10870000000000.0,4360000000000.0005,3010000000000.0,29930000000000.0,53060000000000.0,9460000000000.0,2170000000000.0,6320000000000.0
