项目 Item,一、各项存款 Total Deposits,1.企业存款 Deposits of Enterprises,(1)活期存款 Demand Deposits,(2)定期存款 Time Deposits,2.储蓄存款 Savings Deposits,(1)活期储蓄 Demand Deposits,(2)定期储蓄 Time Deposits,3.委托及信托存款 Trust Deposits,4.其他存款 Other Deposits,二、对国际金融机构负债 Liabilities to International Financial Institutions,三、其他 Other Items,资金来源总计 Total Funds Sources,一、各项贷款 Total Loans,1.短期贷款 Short-term Loans,2.中长期贷款 Medium & Long-term Loans,3.委托及信托贷款 Trust Loans,4.票据融资 Bill Financing,5.其它类贷款 Other Loans,二、有价证券及投资 Portfolio Investment,四、在国际金融机构资产 Assets with International Financial Institutions,资金运用总计 Total Funds Uses
2008-01-31,40248907000000.0,14171731000000.0,9194443000000.0,4977288000000.0,17782347000000.0,6918085000000.001,10864262000000.0,319124000000.0,7975705000000.0,94686000000.0,-4041854000000.0,36301739000000.0,28670545000000.0,12248799000000.0,14348442000000.002,247819999999.99997,1304811000000.0,520672999999.99994,7490328999999.999,107141000000.00002,36301739000000.0
2008-02-29,41585925000000.0,14400910999999.998,9245217000000.0,5155694000000.0,18730429000000.0,7162028999999.999,11568400000000.0,342432000000.0,8112153000000.0,94658000000.0,-4991799000000.0,36688784000000.0,29052981000000.0,12389826000000.0,14664957000000.0,248039000000.0,1240210000000.0,509949000000.0,7494905000000.0,107174000000.0,36688784000000.0
2008-03-31,42659693000000.0,14940019000000.0,9396964000000.0,5543055000000.0,19082185000000.0,7170006000000.0,11912179000000.0,266840000000.0,8370649000000.001,94855000000.0,-5803864000000.0,36950684000000.0,29386690999999.996,12521923000000.0,14892113000000.0,230341000000.0,1210577000000.0,531737000000.0,7422964999999.999,107304000000.0,36950684000000.0
2008-04-30,43377774000000.0,15132387000000.0,9417570000000.0,5714817000000.0,19168332000000.0,7096117999999.999,12072214000000.0,292773000000.0,8784282000000.001,92558000000.0,-5921971000000.0,37548361000000.0,29865576000000.0,12648996000000.0,15144741000000.0,235188000000.0,1289883000000.0,546768000000.0,7544289999999.999,104771000000.0,37548361000000.0
2008-05-31,44254086000000.0,15354301000000.0,9611110000000.0,5743191000000.0,19390748000000.0,7158107000000.001,12232641000000.0,293461000000.0,9215576000000.0,90415000000.0,-6440254000000.0,37904247000000.0,30190607000000.0,12730820000000.0,15349438000000.0,235660000000.0,1321464000000.0,553225000000.0,7576157000000.001,103758999999.99998,37904247000000.0
2008-06-30,45022749000000.0,15595553000000.0,9689171000000.0,5906382000000.0,19760372000000.0,7265987000000.0,12494385000000.0,280435000000.0,9386389000000.0,90488000000.0,-6997125000000.0,38116112000000.0,30508520000000.0,12874837000000.0,15556284000000.0,231776000000.00003,1290033000000.0,555590000000.0,7470385000000.001,103483000000.0,38116112000000.0
2008-07-31,45525645000000.0,15550684000000.0,9656725000000.0,5893959000000.0,20015592000000.0,7334102000000.0,12681490000000.0,309689000000.0,9649680000000.0,89236000000.0,-7182548000000.0,38432333000000.0,30880359999999.996,12970739000000.0,15762621000000.0,234173999999.99997,1366073000000.0,546753000000.0,7416170000000.0,102079000000.0,38432333000000.0
2008-08-31,46208748000000.0,15771554000000.0,9726855000000.0,6044699000000.0,20356701000000.0,7419409000000.0,12937292000000.0,311740000000.0,9768753000000.0,89233000000.0,-7696788000000.0,38601193000000.0,31130413000000.0,13020869000000.0,15909944000000.0,235667999999.99997,1419211000000.0,544721000000.0,7335396000000.001,101660000000.0,38601193000000.0
2008-09-30,46681661000000.0,15869162000000.0,9430812000000.0,6438350000000.0,20799847000000.0,7486395000000.0,13313451999999.998,328722000000.0,9683930000000.0,89228000000.0,-7937373000000.0,38833516000000.0,31483334000000.004,13150432999999.998,16093074000000.0,245911000000.0,1445658000000.0,548258000000.0,7214825999999.999,101632000000.0,38833516000000.0
2008-10-31,47046235000000.0,15702476999999.998,9594021000000.0,6108456000000.0,21113968000000.0,7520136000000.0,13593832000000.0,356935000000.0,9872855000000.0,89437000000.0,-8125696000000.001,39009976000000.0,31593049000000.0,13135292000000.002,16174779000000.0,256198999999.99997,1506486000000.0,520293000000.0,7282310000000.001,100893000000.0,39009976000000.0
2008-11-30,47427244000000.0,15861884000000.0,9707109000000.0,6154775000000.0,21481942000000.0,7584078999999.999,13897863000000.0,376919000000.0,9706499000000.0,73327000000.0,-8654214000000.0,38846357000000.0,31272513000000.0,12679512000000.0,16106210999999.998,281326000000.0,1716975000000.0,488489000000.00006,7447127000000.0,92993000000.0,38846357000000.0
2008-12-31,47844421000000.0,16438579000000.0,10179078000000.0,6259501000000.0,22150347000000.0,7977653000000.0,14172694000000.0,395543000000.0,8859952000000.0,73259000000.0,-8359294000000.0,39558386000000.0,32004868000000.0,12857147000000.0,16416042000000.002,303496000000.0,1931415000000.0002,496768000000.0,7425721000000.001,94073000000.0,39558386000000.0
