项目 Item,一、各项存款 Total Deposits,1.企事业单位定活期存款 Demand & Time Deposits of Enterprises,(1)活期存款 Demand Deposits,(2)定期存款 Time Deposits,2.储蓄存款 Savings Deposits,(1)活期储蓄 Demand Deposits,(2)定期储蓄 Time Deposits,3.委托及信托存款 Trust Deposits,4.其他存款 Other Deposits,二、对国际金融机构负债 Liabilities to International Financial,三、其他 Other Items,资金来源总计 Total Funds Sources,一、各项贷款 Total Loans,1.短期贷款 Short-term Loans,2.中长期贷款 Medium & Long-term Loans,3.委托及信托贷款 Trust Loans,4.票据融资 Bill Financing,5.其它类贷款 Other Loans,二、有价证券及投资 Portfolio Investment,三、黄金占款 Position for Bullion Purchase,四、在国际金融机构资产 Assets with International Financial Ins,资金运用总计 Total Funds Uses
2009-01-31,49471907000000.0,16085300000000.0,9508926000000.0,6576374000000.001,23687225000000.0,8663214999999.999,15024010999999.998,368880000000.0,9330501000000.0,77149000000.0,-8355749000000.001,41193307000000.0,33600096999999.996,13213731000000.0,17042013000000.0,306302000000.0,2555912000000.0,482138000000.0,7463264000000.0,33724000000.0,96222000000.0,41193307000000.0
2009-02-28,51157092000000.0,16743829999999.998,10147130000000.0,6596700000000.0,24123743000000.0,8602336000000.0,15521407000000.0,381764000000.0,9907754000000.0,77149000000.0,-8997906000000.0,42236335000000.0,34642875000000.0,13386956000000.0,17421546000000.0,323810000000.0,3043629000000.0,466934000000.0,7463811000000.0,33724000000.0,95925000000.0,42236335000000.0
2009-03-31,53630948000000.0,18171304000000.0,11119802000000.0,7051502000000.0,24692053000000.0,8811181000000.0,15880872000000.0,392717000000.0,10374875000000.0,75032000000.0,-9476296000000.0,44229685000000.0,36563258000000.0,13999513000000.0,18333166000000.0,330535000000.0,3413804000000.0,486239999999.99994,7538742999999.999,33724000000.0,93959000000.0,44229685000000.0
2009-04-30,54687747000000.0,18618554000000.0,11169183000000.0,7449371000000.001,24815018000000.0,8807748000000.0,16007269000000.0,429392000000.0,10824783000000.0,75617000000.0,-9585696000000.0,45177668000000.0,37204054000000.0,13976693000000.0,18831546000000.0,343651000000.0,3539676999999.9995,512487000000.0,7812060000000.001,66984000000.0,94570000000.0,45177668000000.0
2009-05-31,56037604000000.0,19068785000000.0,11571503000000.0,7497282000000.001,25003288000000.0,8854581000000.0,16148707000000.0,458995000000.0,11506536000000.0,72480000000.0,-9896772000000.0,46213312000000.0,37978276000000.0,14100048000000.002,19317139000000.0,360322000000.0,3626100000000.0,574666000000.0,8073309000000.0,66984000000.0,94743000000.0,46213312000000.0
2009-06-30,58050715000000.0,20232097000000.0,12469038000000.0,7763058000000.0,25335554000000.0,9091035000000.0,16244519000000.0,461302000000.00006,12021763000000.0,72332000000.0,-9864440000000.0,48258607000000.0,39762757000000.0,14641385999999.998,20419874000000.0,380560000000.0,3638528000000.0,682409000000.0,8333842000000.0,66984000000.0,95024000000.0,48258607000000.0
2009-07-31,58456507999999.99,20341070000000.0,12608146000000.0,7732924000000.001,25289701000000.0,9176398000000.0,16113301999999.998,500437000000.0,12325300000000.0,74694000000.0,-9610660000000.0,48920542000000.0,40207246000000.0,14662826000000.0,20971343000000.0,400623000000.0,3440476000000.0,731979000000.0,8548899000000.001,66984000000.0,97413000000.0,48920542000000.0
2009-08-31,58804501000000.0,20759394000000.0,12916557000000.0,7842837000000.0,25245228000000.0,9221193000000.0,16024035000000.0,486037000000.0,12313842000000.0,74693000000.0,-9308110000000.0,49571084000000.0,40748707000000.0,14800773000000.002,21580962000000.0,411039999999.99994,3165035000000.0,790897000000.0,8657760000000.001,66984000000.0,97633000000.0,49571084000000.0
2009-09-30,59786692000000.01,21202307000000.0,12637802000000.0,8564505000000.0,25961594000000.0,9628251000000.0,16333343000000.0,550537000000.0,12072254000000.0,74692000000.0,-9462725000000.0,50398659000000.0,41385483000000.0,15033412000000.0,22218825000000.0,461710999999.99994,2813582000000.0,857952000000.0,8771883000000.0,66984000000.0,174309000000.0,50398659000000.0
2009-10-31,60078838000000.0,21424015000000.0,13253290000000.0,8170724000000.001,25694131000000.0,9537783000000.0,16156349000000.0,596531000000.0,12364161000000.0,74692000000.0,-9255227000000.0,50898302000000.0,41749379000000.0,15055632999999.998,22674416000000.0,491595000000.0,2610696000000.0,917037999999.9999,8906070000000.0,66984000000.0,175870000000.0,50898302000000.0
2009-11-30,60671131999999.99,21775007000000.0,13583488000000.0,8191519000000.0,25767528000000.0,9635012000000.0,16132516000000.0,613464000000.0,12515133000000.0,75839000000.0,-9174474000000.0,51572497000000.0,42156889000000.0,15112197000000.0,23074523000000.0,509938000000.0,2501439000000.0,958793000000.0,9170512000000.0,66984000000.0,178112000000.0,51572497000000.0
2009-12-31,61200635000000.0,22435703000000.0,13999729000000.0,8435974000000.001,26476125000000.0,10189658000000.0,16286467000000.002,601399000000.0,11687408000000.0,76172000000.0,-9197250000000.0,52079557000000.0,42559660000000.0,15135298000000.002,23557864000000.0,533699000000.0,2387867000000.0,944932000000.0,9276461000000.0,66984000000.0,176451000000.0,52079557000000.0
