项目 Item,一、各项存款 Total Deposits,1.企业定活期存款 Demand & Time Deposits of Enterprises,(1)活期存款 Demand Deposits,(2)定期存款 Time Deposits,2.储蓄存款 Savings Deposits,(1)活期储蓄 Demand Deposits,(2)定期储蓄 Time Deposits,3.委托存款 Designated Deposits,4.其他存款 Other Deposits,二、对国际金融机构负债 Liabilities to International Financial,三、其他 Other Items,资金来源总计 Total Funds Sources,一、各项贷款 Total Loans,1.短期贷款 Short-term Loans,2.中长期贷款 Medium & Long-term Loans,3.委托贷款 Designated Loans,4.票据融资 Bill Financing,5.其他贷款 Other Loans,二、有价证券及投资 Portfolio Investment,四、在国际金融机构资产 Assets with International Financial Ins,资金运用总计 Total Funds Uses
2010-01-31,62716587000000.0,21735113000000.0,14373981000000.0,7361131000000.0,26720687000000.0,10240247000000.0,16480440000000.0,638448000000.0,13622339000000.002,74669000000.0,-9441940000000.0,53349315000000.0,44022549000000.0,15047856000000.0,25218548000000.0,569627000000.0,2208026000000.0,978492000000.0,9085775000000.0,174007000000.0,53349315000000.0
2010-02-28,63689507999999.99,21425723000000.0,13787163000000.0,7638560000000.001,28307681000000.0,10919540000000.0,17388141000000.0,601081000000.0,13355023000000.002,74670000000.0,-9708424000000.0,54055754000000.0,44788799000000.0,15304774000000.0,25900771000000.0,541234000000.0,2033105000000.0,1008915000000.0,9026625000000.0,173346000000.0,54055754000000.0
2010-03-31,65265462000000.0,22206417000000.0,14416998000000.002,7789419000000.0,28505409000000.004,11043601000000.0,17461807999999.998,618013000000.0,13935623000000.002,74670000000.0,-10541453000000.0,54798679000000.0,45365479000000.0,15467164000000.002,26517340000000.004,545428000000.0,1764528000000.0,1071019000000.0,9193813000000.0,172403000000.0,54798679000000.0
2010-04-30,66386447000000.0,22784654000000.0,14735004999999.998,8049650000000.0,28453421000000.004,10948109000000.0,17505312000000.0,648107000000.0,14500265000000.0,74153000000.0,-10689665000000.0,55770935000000.0,46174806000000.0,15622053000000.0,27083942000000.0,559669000000.0,1811673000000.0,1097469000000.0,9357183000000.0,171961000000.0,55770935000000.0
2010-05-31,67458056999999.99,23141470000000.0,15000076999999.998,8141392999999.999,28508113000000.0,10958495000000.0,17549618000000.0,669147000000.0,15139357999999.998,71924000000.0,-10951686000000.0,56578294999999.99,46815292000000.0,15722645000000.002,27600345000000.0,558779000000.0,1849648000000.0,1083875000000.0,9528665000000.0,167354000000.0,56578294999999.99
2010-06-30,68853994999999.99,23458380000000.0,15226624000000.0,8231756000000.0,29204969000000.0,11434852000000.0,17770117000000.0,610651000000.0,15579994000000.0,71909000000.0,-11615606000000.0,57310298000000.0,47400621000000.0,15952691000000.0,28089661000000.0,548189999999.99994,1736486000000.0,1073593000000.0,9675638000000.0,167055000000.0,57310298000000.0
2010-07-31,69022571000000.0,23316242000000.0,15062538000000.0,8253703999999.999,29111040000000.004,11297420000000.0,17813619000000.0,623492000000.0,15971797000000.0,70142000000.0,-11213481000000.0,57879231999999.99,47888636000000.0,16023810000000.0,28558324000000.0,562864000000.0,1692486000000.0,1051152000000.0,9756281000000.0,167331000000.0,57879231999999.99
2010-08-31,70145990000000.0,23659905000000.0,15215900000000.0,8444005000000.0,29269415999999.996,11435818000000.0,17833598000000.0,629561000000.0,16587109000000.0,71610000000.0,-11475185000000.0,58742415000000.0,48469199000000.0,16209926000000.0,28957753000000.004,573325000000.0,1672000000000.0,1056195000000.0001,10037213000000.0,169019000000.0,58742415000000.0
2010-09-30,71642399000000.0,23971141000000.0,14868825000000.0,9102316000000.0,30312552000000.0,12047427000000.0,18265124000000.0,603346000000.0,16755360000000.0,71570000000.0,-12208302000000.0,59505667000000.01,49114801000000.0,16445326999999.998,29459377000000.0,571419000000.0,1579404000000.0,1059274000000.0,10153481000000.0,170401000000.0,59505667000000.01
2010-10-31,71839228000000.0,24356989000000.0,15717032000000.0,8639957000000.001,29623415999999.996,11664020000000.0,17959395000000.0,614254000000.0,17244569000000.0,70169000000.0,-11716863000000.0,60192534000000.0,49737555000000.0,16629518000000.0,29840203000000.004,594553000000.0,1579351000000.0,1093931000000.0,10217144000000.0,170851000000.0,60192534000000.0
2010-11-30,72428065000000.0,24740237000000.0,16097359000000.0,8642878000000.0,29775305000000.0,11862751000000.0,17912554000000.0,605270000000.0,17307253000000.0,71837000000.0,-11563662000000.0,60936240000000.0,50356729000000.0,16855101999999.998,30193698000000.0,612925000000.0,1565523000000.0,1129481000000.0,10343567000000.0,168960000000.0,60936240000000.0
2010-12-31,73338203000000.0,25296027000000.0,16453607000000.0,8842420000000.0,30716639000000.0,12626439000000.0,18090200000000.0,667344000000.0,16658193000000.0,72008000000.0,-11880430000000.0,61529781000000.01,50922595000000.0,17123664000000.002,30512755000000.0,635478000000.0,1484475000000.0,1166222000000.0,10370952000000.0,169250000000.0,61529781000000.01
