项目 Item,一、各项存款 Total Deposits,1.单位存款 Corporate Deposits,其中：活期存款 Demand Deposits,定期存款 Time Deposits,通知存款 Notice Deposits,保证金存款 Margin Deposits,2.个人存款 Personal Deposits,储蓄存款 Savings Deposits,保证金存款 Margin Deposits,结构性存款 Structure Deposits,3.财政性存款 Fiscal Deposits,4.临时性存款 Temporary Deposits,5.委托存款 Designated Deposits,6.其他存款 Other Deposits,二、金融债券 Financial Bond,三、对国际金融机构负债 Liabilities to International Financial,四、其他 Other Items,资金来源总计 Total Funds Sources,一、各项贷款 Total Loans,（一）境内贷款 Domestic Loans,1.短期贷款 Short-term Loans,2.中长期贷款 Medium & Long-term Loans,3.融资租赁 Financial Lease,4.票据融资 Bill Financing,5.各项垫款 Miscellaneous Advances,（二）境外贷款 Overseas Loans,二、有价证券 Portfolio Investments,三、股权及其他投资 Shares and Other Investments,五、在国际金融机构资产 Assets with International Financial Ins,资金运用总计 Total Funds Uses
2011-01-31,72765535000000.0,36071456000000.0,17093735000000.0,9432169000000.0,1661509000000.0,3683180000000.0005,32270320000000.0,31869021999999.996,16874000000.0,384424000000.0,2901989000000.0,188628000000.0,41522000000.0,1291621000000.0,673459000000.0,66804999999.99999,-12065602000000.0,61440197000000.0,51403841000000.0,50406619000000.0,18242244000000.0,30430478000000.004,300555000000.0,1416230000000.0,17111000000.000002,997221999999.9999,8808064000000.0,992870000000.0001,168438000000.0,61440197000000.0
2011-02-28,74104610000000.0,36722611000000.0,17701894000000.0,9501428000000.0,1469204000000.0,3609318000000.0,32522305000000.0,32103888000000.0,15641000000.0,402775000000.0,3239997000000.0,232085000000.0,4942000000.0,1382670000000.0,704421000000.0,67188000000.0,-12824381000000.0,62051838000000.0,51969789000000.0,50969103000000.0,18497763000000.0,30797715000000.004,310205000000.0,1345444000000.0,17976000000.0,1000686000000.0,8835465000000.0,1010785000000.0,168816000000.0,62051838000000.0
2011-03-31,76837008000000.0,38510470000000.0,18379189000000.0,9853102000000.0,1623481000000.0,3960582000000.0,33574693000000.0,33082853999999.996,15877000000.000002,475962000000.0,2998175000000.0,197646000000.0,27180000000.0,1528844000000.0,636370000000.0,77419000000.0,-14714665000000.0,62836131999999.99,52605078000000.0,51590716000000.0,18809499000000.0,31199630000000.0,321432000000.0,1242532000000.0,17623000000.0,1014361000000.0,8888241000000.0,1091007000000.0,184822000000.0,62836131999999.99
2011-04-30,77173114000000.0,38907193000000.0,18381334000000.0,10006151000000.0,1666770000000.0,4138794999999.9995,33108912000000.0,32577046999999.996,17860000000.0,514006000000.00006,3408233000000.0,228841000000.0,48056000000.0,1471878000000.0,731940000000.0,79457000000.0,-14316318000000.0,63668193000000.01,53369667000000.01,52356558000000.0,19123104000000.0,31598289000000.0,337014000000.0,1280231000000.0,17922000000.0,1013109000000.0,8944995000000.0,1100605000000.0,185941000000.0,63668193000000.01
2011-05-31,78284582000000.0,39600618000000.0,18644751000000.0,10200692000000.0,1553621000000.0,4364771000000.0,33201292000000.0,32715732000000.0,18341000000.0,467218999999.99994,3761399000000.0,215632000000.00003,22820000000.0,1482820000000.0,752993000000.0,80307000000.0,-14699724000000.0,64418156999999.99,53998241000000.0,52952606999999.99,19409980000000.0,31839744000000.0,348325000000.0,1336939000000.0,17619000000.0,1045634000000.0,9063357000000.0,1104568000000.0,185007000000.0,64418156999999.99
2011-06-30,80302661000000.0,40530005000000.0,19167007000000.0,10275483000000.0,1493081000000.0,4594572000000.0,34231153000000.004,33607773000000.0,19425000000.0,603956000000.0,3627154000000.0,239371000000.0,19645000000.0,1655332000000.0,794648000000.0,79512000000.0,-15891674000000.0,65285147000000.0,54650231000000.01,53628704000000.0,19819731000000.0,32071918000000.0,357405000000.0,1362092000000.0,17558000000.0,1021527000000.0,9142803000000.0,1240667000000.0,184462000000.0,65285147000000.0
2011-07-31,79569176000000.0,40070225000000.0,18640054000000.0,10427553000000.0,1434035000000.0,4536693000000.0,33608426000000.0,32942345000000.0,20261000000.0,645820000000.0,4086332000000.0,237681000000.0,24341000000.0,1542170000000.0,782224000000.0,80232000000.0,-14567044000000.0,65864589000000.0,55128918999999.99,54105499000000.0,19994215000000.0,32293175000000.0,373858000000.0,1427260000000.0,16991000000.0,1023420000000.0001,9312338000000.0,1172888000000.0,183460000000.0,65864589000000.0
2011-08-31,80315457000000.0,40720582000000.0,18804034000000.0,10634635000000.0,1417670000000.0,4736764000000.0,33650875000000.0,33030346000000.004,22229000000.0,598299000000.0,4187843000000.0,204287000000.0,17113000000.0,1534758000000.0,801376000000.0,80271000000.0,-14581276000000.0,66615828000000.0,55685938000000.0,54671384000000.0,20246738000000.0,32505903000000.004,382896000000.0,1519030000000.0,16816999999.999998,1014554000000.0001,9442070000000.0,1240266000000.0,180570000000.0,66615828000000.0
2011-09-30,81034682000000.0,40700658000000.0,18273503000000.0,10750962000000.0,1999790000000.0002,4627997000000.0,34669833000000.0,33747103000000.004,23547000000.0,899184000000.0,3816010000000.0,221721000000.0,15713999999.999998,1610745000000.0,766921000000.0,79734000000.0,-14528571000000.0,67352766000000.0,56241081999999.99,55198804000000.0,20621895000000.0,32671676000000.0,388972000000.0,1498386000000.0,17874000000.0,1042278000000.0001,9487956000000.0,1379726000000.0,177018000000.0,67352766000000.0
2011-10-31,80849089000000.0,40814202000000.0,19031859000000.0,10592823000000.0,1490092000000.0,4480973000000.0,33977890999999.996,33129103999999.996,26914999999.999996,821871999999.9999,4211112000000.0005,236081000000.0,19197000000.0,1590607000000.0,860385000000.0,79721000000.0,-13605653000000.0,68183542000000.01,56852684000000.0,55796385000000.0,20933959000000.0,33018750000000.0,396151000000.0,1428141000000.0,19384000000.0,1056300000000.0,9679188000000.0,1406234000000.0,178451000000.0,68183542000000.01
2011-11-30,81204809000000.0,41255571000000.0,19236890000000.0,10520513000000.0,1526623000000.0,4509591000000.0,34223244000000.0,33395459999999.996,28560000000.000004,799224000000.0,3834832000000.0,235917999999.99997,23689000000.0,1631555000000.0,899134000000.0,82378000000.0,-13242264000000.002,68944056999999.99,57433716000000.0,56349600000000.0,21241096000000.0,33212817000000.0,410500000000.0,1463408000000.0,21779000000.0,1084116000000.0,9858540000000.0,1410328000000.0,174489000000.0,68944056999999.99
2011-12-31,82670135000000.0,42308661000000.0,19922205000000.0,10710458000000.0,1623416000000.0,4656774000000.0,35790158000000.0,34740078000000.004,30110000000.000004,1019969000000.0,2622311000000.0,185999000000.0,30970000000.0,1732036000000.0,1027444000000.0,77646000000.0,-13978707000000.0,69796518000000.01,58189250000000.0,57086257999999.99,21748010000000.0,33374651000000.0,426217000000.0,1515351000000.0,22029000000.0,1102993000000.0,9931344000000.0,1437072000000.0,171867000000.0,69796518000000.01
