项目 Item,一、各项存款 Total Deposits,1.单位存款 Corporate Deposits,其中：活期存款 Demand Deposits,定期存款 Time Deposits,通知存款 Notice Deposits,保证金存款 Margin Deposits,2.个人存款 Personal Deposits,储蓄存款 Savings Deposits,保证金存款 Margin Deposits,结构性存款 Structure Deposits,3.财政性存款 Fiscal Deposits,4.临时性存款 Temporary Deposits,5.委托存款 Designated Deposits,6.其他存款 Other Deposits,二、金融债券 Financial Bond,三、对国际金融机构负债 Liabilities to International Financial Ins,四、其他 Other Items,资金来源总计 Total Funds Sources,一、各项贷款 Total Loans,（一）境内贷款 Domestic Loans,1.短期贷款 Short-term Loans,2.中长期贷款 Medium & Long-term Loans,3.融资租赁 Financial Lease,4.票据融资 Bill Financing,5.各项垫款 Miscellaneous Advances,（二）境外贷款 Overseas Loans,二、有价证券 Portfolio Investments,三、股权及其他投资 Shares and Other Investments,五、在国际金融机构资产 Assets with International Financial Instit,资金运用总计 Total Funds Uses
2012-01-31,81968066000000.0,39598048000000.0,17480866000000.0,10796051000000.0,1446221000000.0,4641011000000.0,37464599000000.0,36110516000000.0,32145000000.0,1321938000000.0,2972682000000.0,222064000000.0,25455000000.0,1685218000000.0,890431000000.0,74111000000.0,-12166688000000.0,70765920000000.0,58908769999999.99,57791773000000.0,22028428000000.0,33778318000000.0,436301000000.0,1522106000000.0,26620000000.0,1116998000000.0,10005120000000.0,1613658000000.0,171387000000.0,70765920000000.0
2012-02-29,83733927000000.0,40939680000000.0,18102418000000.0,11056190000000.0,1406389000000.0,4805756000000.0,37597393000000.0,36200397000000.0,35556000000.0,1361439000000.0,3094463000000.0,239010000000.0,43573000000.0,1819808000000.0002,898589000000.0,76588000000.0,-12954262000000.0,71754842000000.0,59661535000000.0,58527068999999.99,22420291000000.0,33993030000000.0,450650000000.0,1632700000000.0,30399000000.0,1134466000000.0,10193258000000.0,1662868999999.9998,170196000000.0,71754842000000.0
2012-03-31,86844871000000.0,42997387000000.0,18798386000000.0,11531806000000.0,1549667000000.0,5139868000000.0,38938375000000.0,37297116000000.0,38250000000.0,1603009000000.0,2688679000000.0,205992999999.99997,39201000000.0,1975236000000.0,908166000000.0,76554000000.0,-14717974000000.0,73111617000000.0,60769042000000.01,59626652000000.0,23051761000000.0,34293134000000.004,473267000000.0,1771714000000.0,36776000000.0,1142389000000.0,10298073000000.0,1806925000000.0,170593000000.0,73111617000000.0
2012-04-30,86516254000000.0,42959389000000.0,18604436000000.0,11708840000000.0,1511157000000.0,5230542000000.0,38293092000000.0,36688939000000.0,39982000000.0,1564171000000.0,3123043000000.0,218023000000.0,41661000000.0,1881045000000.0,850915000000.0,75647000000.0,-13658766000000.0,73784050000000.0,61451597000000.0,60292214000000.0,23264278000000.0,34488271000000.004,487579000000.0,2012450999999.9998,39635000000.0,1159383000000.0,10310117000000.0,1785559999999.9998,169792000000.0,73784050000000.0
2012-05-31,87842504000000.0,43732387000000.0,18988935000000.0,11935312000000.0,1503157000000.0,5345181000000.0,38556564000000.0,37111157000000.0,46760000000.0,1398647000000.0,3388187999999.9995,222812000000.0,18764000000.0,1923789000000.0,771392000000.0,79361000000.0,-14095190000000.0,74598068000000.0,62307030000000.01,61133684000000.0,23571348000000.0,34768002000000.0,505417000000.0,2244669000000.0,44249000000.0,1173345000000.0,10331510000000.0,1724829000000.0,167715000000.0,74598068000000.0
2012-06-30,90869354000000.0,45229846000000.0,19643014000000.0,12305925000000.0,1557959000000.0,5537085000000.0,40062868000000.0,38524773000000.0,48756000000.0,1489340000000.0,3152221000000.0,270744999999.99997,17726000000.0,2135948000000.0,727886000000.0,78041000000.0,-15788132999999.998,75887148000000.0,63324991000000.0,62121150000000.0,24206417000000.0,35051461000000.0,537260999999.99994,2278992000000.0,47019000000.0,1203841000000.0,10543600000000.0,1783731000000.0002,167842000000.0,75887148000000.0
2012-07-31,90417743000000.0,45027275000000.0,19301651000000.0,12631598000000.0,1442186000000.0,5552433000000.0,39503770000000.0,38023004000000.0,49956000000.0,1430810000000.0,3579611000000.0,213367000000.0,27345000000.0,2066375999999.9998,830545000000.0001,78047000000.0,-14743003000000.0,76583332000000.0,63876222000000.0,62661885000000.0,24373231000000.0,35256571000000.0,550239000000.0,2431555000000.0,50288000000.0,1214337000000.0,10721193000000.0,1754091999999.9998,164841000000.0,76583332000000.0
2012-08-31,90944181000000.0,45467539000000.0,19350535000000.0,12874166000000.0,1384430000000.0,5563529000000.0,39614422000000.0,38376776000000.0,48930000000.0,1188715000000.0,3620201999999.9995,198964000000.0,18867000000.0,2024187000000.0,853833000000.0,79694000000.0,-14240101000000.0,77637606000000.0,64662080000000.01,63400522000000.0,24664753000000.0,35552467000000.0,564784000000.0,2562833000000.0,55686000000.0,1261557000000.0,10981023000000.0,1761888000000.0,165632000000.0,77637606000000.0
2012-09-30,92588895000000.0,46256664000000.0,19243177000000.0,13144574000000.0,2131197000000.0,5595300000000.0,40785594000000.0,39405871000000.0,50658000000.0,1329065000000.0,3250406000000.0,208944000000.0,14066999999.999998,2073221000000.0,772969000000.0,79358000000.0,-14530301999999.998,78910920000000.0,65458810000000.0,64182848000000.0,25345206000000.0,35849221000000.0,581700000000.0,2345782000000.0,60938000000.0,1275962000000.0,11127081000000.0,2090733000000.0002,167311000000.0,78910920000000.0
2012-10-31,92315746000000.0,46246551000000.0,19870715000000.0,13050394000000.0,1514749000000.0,5442996000000.0,40094237000000.0,38929308000000.0,51665000000.0,1113264000000.0,3730998000000.0005,219327000000.0,21037000000.0,2003597000000.0,789818000000.0,83067000000.0,-13596804999999.998,79591825000000.0,66067510000000.0,64780985000000.0,25730939000000.0,36117648000000.0,592954000000.0,2272504000000.0,66939000000.0,1286525000000.0,11258414000000.0,2030849000000.0002,168069000000.0,79591825000000.0
2012-11-30,92773192000000.0,46595299000000.0,20157124000000.0,13041403000000.0,1567557000000.0,5404465000000.0,40285064000000.0,39255959000000.0,52304000000.0,976800000000.0,3616154000000.0,224934000000.0,21748000000.0,2029993999999.9998,730226000000.0,83934000000.0,-13323182000000.0,80264171000000.0,66686832999999.99,65388312000000.0,26211212000000.0,36265460000000.0,606947000000.0,2234921000000.0,69771000000.0,1298521000000.0,11297097000000.0,2048391999999.9998,164865000000.0,80264171000000.0
2012-12-31,94310227000000.0,47873020000000.0,21157612000000.0,13205045000000.002,1789020000000.0,5437210000000.0,41554987000000.0,40370444000000.0,52965000000.0,1131578000000.0,2442688000000.0,192603000000.0,22791000000.0,2224138000000.0,859010000000.0,82768000000.0,-13943776999999.998,81308229000000.0,67287461000000.0,65921000000000.0,26815219000000.0,36389422000000.0,608160000000.0,2044740000000.0002,63458000000.00001,1366461000000.0,11461726000000.0,2327997000000.0,164060000000.0,81308229000000.0
