项目 Item,一、各项存款 Total Deposits,1.单位存款 Corporate Deposits,其中：活期存款 Demand Deposits,定期存款 Time Deposits,通知存款 Notice Deposits,保证金存款 Margin Deposits,2.个人存款 Personal Deposits,储蓄存款 Savings Deposits,保证金存款 Margin Deposits,结构性存款 Structure Deposits,3.财政性存款 Fiscal Deposits,4.临时性存款 Temporary Deposits,5.委托存款 Designated Deposits,6.其他存款 Other Deposits,二、金融债券 Financial Bond,三、对国际金融机构负债 Liabilities to International Financial Institutions,四、其他 Other Items,资金来源总计 Total Funds Sources,一、各项贷款 Total Loans,（一）境内贷款 Domestic Loans,1.短期贷款 Short-term Loans,2.中长期贷款 Medium & Long-term Loans,3.融资租赁 Financial Lease,4.票据融资 Bill Financing,5.各项垫款 Miscellaneous Advances,（二）境外贷款 Overseas Loans,二、有价证券 Portfolio Investments,三、股权及其他投资 Shares and Other Investments,五、在国际金融机构资产 Assets with International Financial Institutions,资金运用总计 Total Funds Uses
2013-01-31,95511160000000.0,48010080000000.0,20506915000000.0,13311039000000.002,1525747000000.0,5890559000000.0,42306136000000.0,41058295000000.0,56741999999.99999,1191099000000.0,2772557000000.0,213777000000.0,35737000000.0,2172873000000.0,631519000000.0,77458000000.0,-13499724000000.0,82720414000000.0,68547718999999.99,67179179000000.0,27461581000000.0,36999630000000.0,631787000000.0,2017082000000.0,69099000000.0,1368540000000.0,11669865000000.0,2270549000000.0,165296000000.0,82720414000000.0
2013-02-28,96329982000000.0,46956237000000.0,19440570000000.0,13582019000000.0,1569805000000.0,5792362000000.0,44090959000000.0,42811775000000.0,59686000000.0,1219498000000.0,2796865000000.0,248217000000.0,40190000000.0,2197514000000.0,561527000000.0,80748000000.0,-13426475000000.0,83545782000000.0,69281340000000.0,67903948000000.0,27721163000000.0,37428181000000.0,645874000000.0,2035003000000.0,73726000000.0,1377392000000.0,11717409000000.0,2317309000000.0,162740000000.0,83545782000000.0
2013-03-31,100698179000000.0,50163999000000.0,20810520000000.0,14157625000000.0,1749536000000.0,6205597000000.0,45305875000000.0,44097135000000.0,65632000000.00001,1143108000000.0,2531671000000.0,240406000000.0,35919000000.0,2420309000000.0,556774000000.0,79418000000.0,-16107239000000.002,85227132000000.0,70488101000000.0,69098704000000.0,28346424000000.0,37860145000000.0,664189000000.0,2153564000000.0,74382000000.0,1389397000000.0,11920792000000.0,2590437000000.0,160819000000.0,85227132000000.0
2013-04-30,100586712000000.0,50624783000000.0,20519963000000.0,14533319000000.0,1816550000000.0,6406152000000.0,44353223000000.0,43089668000000.0,68766000000.0,1194790000000.0,3054031000000.0,228833000000.0,37865000000.0,2287976000000.0,473793999999.99994,78681000000.0,-14803137000000.0,86336049000000.0,71328476000000.0,69942656000000.01,28585640999999.996,38272818000000.0,684120000000.0,2321991000000.0,78086000000.0,1385820000000.0,12070307000000.0,2710687000000.0,159595000000.0,86336049000000.0
2013-05-31,102035392000000.0,51298783000000.0,20730775000000.0,14835782000000.0,1749374000000.0002,6398234000000.0,44634331000000.0,43366567000000.0,70606000000.0,1197157000000.0,3517281000000.0,226278000000.00003,29939000000.0,2328781000000.0,477539000000.00006,84494000000.0,-15174466000000.0,87422959000000.0,72001844000000.0,70599326000000.0,28785496999999.996,38625252000000.0,698149000000.0,2408478000000.0,81951000000.0,1402517000000.0,12165632000000.0,3027903000000.0,160596000000.0,87422959000000.0
2013-06-30,103640105000000.0,51739021000000.0,21036177000000.0,14992115000000.0,1763370000000.0,6235779000000.0,45752082000000.0,44090407000000.0,70132000000.0,1591542000000.0,3395368000000.0,267177000000.0,19886000000.0,2466571000000.0,441338000000.0,80581000000.0,-15476844000000.0,88685181000000.0,72877298000000.0,71403880000000.0,29267419000000.0,39009187000000.0,718860000000.0,2330265000000.0,78149000000.0,1473419000000.0,12243227000000.0,3340576000000.0,157095000000.0,88685181000000.0
2013-07-31,103277928000000.0,51123986000000.0,20729799000000.0,15051993000000.0,1628660000000.0,5961856000000.0,45347209000000.0,43637441000000.0,72333000000.0,1637435000000.0,4049915000000.0,229357000000.00003,31527999999.999996,2495932000000.0,543747999999.99994,81409000000.0,-14229209000000.0,89673875000000.0,73461318000000.0,71977383000000.0,29471596999999.996,39457166000000.0,738197000000.0,2226032000000.0,84391000000.0,1483935000000.0,12476246000000.0,3511206000000.0,158122000000.0,89673875000000.0
2013-08-31,104143530000000.0,51848415000000.0,20931687000000.0,15221751000000.0,1668466000000.0,6102796000000.0,45427410000000.0,43854618000000.0,75376000000.0,1497416000000.0,4189751999999.9995,228162000000.0,30747000000.000004,2419043000000.0,602720000000.0,85090000000.0,-14234381000000.0,90596959000000.0,74132106000000.0,72638126000000.0,29702426000000.0,39890712000000.0,745147000000.0,2213497000000.0,86344000000.0,1493980000000.0,12702164000000.0,3537344000000.0,158361000000.0,90596959000000.0
2013-09-30,105847806000000.0,52581713000000.0,20748097000000.0,15566159000000.0,2329243000000.0,6114638000000.0,46600421000000.0,44732194000000.0,75323000000.0,1792904000000.0,3896539000000.0,216017000000.0,22157000000.0,2530958000000.0,573666000000.0,84591000000.0,-14625698000000.002,91880365000000.0,74990809000000.0,73480951000000.0,30246630000000.0,40335611000000.0,752748000000.0,2061293000000.0,84670000000.0,1509859000000.0,12834675000000.0,3828653000000.0,159243000000.0,91880365000000.0
2013-10-31,105426659000000.02,52497821000000.0,21300872000000.0,15380510999999.998,1788738000000.0,5950695000000.0,45682462000000.0,44019481000000.0,75191000000.0,1587789000000.0,4517389000000.0,217108000000.0,32344000000.0,2479535000000.0,632587000000.0,84384000000.0,-13699495000000.002,92444135000000.0,75497869000000.0,73972174000000.0,30488371999999.996,40641601000000.0,762174000000.0,1990681000000.0002,89346000000.0,1525695000000.0,12865527000000.0,3854910000000.0,158846000000.0,92444135000000.0
