项目 Item,一、各项存款 Total Deposits,（一）境内存款 Domestic Deposits,1.住户存款 Deposits of Households,（1）活期存款 Demand Deposits,（2）定期及其他存款 Time & Other Deposits,2.非金融企业存款 Deposits of Non-financial Enterprises,（1）活期存款 Demand Deposits,（2）定期及其他存款 Time & Other Deposits,3.政府存款 Deposits of Government,（1）财政性存款 Fiscal Deposits,（2）机关团体存款 Deposits of Government Departments & Organizations,4.非银行业金融机构存款 Deposits of Non-banking Financial Institutions,（二）境外存款 Overseas Deposits,二、金融债券 Financial Bonds,三、对国际金融机构负债 Liabilities to International Financial Institutions,四、其他 Other Items,资金来源总计 Total Funds Sources,一、各项贷款 Total Loans,（一）境内贷款 Domestic Loans,1.住户贷款 Loans to Households,（1）短期贷款 Short-term Loans,消费贷款 Consumption Loans,经营贷款 Operating Loans,（2）中长期贷款 Mid & Long-term Loans,消费贷款 Consumption Loans,经营贷款 Operating Loans,2.非金融企业及机关团体贷款 Loans to Non-financial Enterprises and Government Departments & Organizations,（1）短期贷款 Short-term Loans,（2）中长期贷款 Mid & Long-term Loans,（3）票据融资 Paper Financing,（4）融资租赁 Financial Leases,（5）各项垫款 Total Advances,3.非银行业金融机构贷款 Loans to Non-banking Financial Institutions,（二）境外贷款 Overseas Loans,二、债券投资 Portfolio Investments,三、股权及其他投资 Shares and Other Investments,四、在国际金融机构资产 Assets with International Financial Institutions,资金运用总计 Total Funds Uses
2017-01-31,157054370000000.0,155201067000000.0,63786755000000.01,25472528000000.0,38314227000000.0,51261260000000.0,20688699000000.0,30572561000000.0,27066544000000.0,3957451000000.0,23109092000000.0,13086508000000.0,1853303000000.0,3882312000000.0005,634000000.0,2230834000000.0,163168151000000.0,114194707000000.0,110817705000000.0,34133038000000.0,9688285000000.0,5054347000000.0,4633938000000.0,24444753000000.0,20662379000000.0,3782374000000.0,76006105000000.0,27942003000000.004,41163449000000.0,5026049000000.0,1682303000000.0,192301000000.0,678562000000.0,3377001000000.0,25471100000000.0,23357929000000.0,144415000000.0,163168151000000.0
2017-02-28,159555425000000.0,157640968000000.0,63884847000000.0,24568472000000.0,39316375000000.0,52099131000000.0,21633963000000.0,30465168000000.0,27884799000000.0,4147744999999.9995,23737054000000.0,13772191000000.0,1914457000000.0,3968141000000.0005,634000000.0,1142911000000.0,164667112000000.0,115510462000000.02,112024286000000.02,34433390999999.996,9608300000000.0,4994342000000.0,4613959000000.0,24825090000000.0,21027333000000.0,3797758000000.0,76780377000000.0,28331881000000.0,41757022000000.0,4784153000000.0,1710484000000.0,196836000000.0,810519000000.0,3486175000000.0,25504048000000.0,23508907000000.0,143695000000.0,164667112000000.0
2017-03-31,160976395000000.0,159033579000000.0,64615477000000.0,24659385000000.0,39956091000000.0,53506118999999.99,22365086000000.0,31141033000000.0,27819625000000.0,3380776000000.0,24438849000000.0,13092358000000.0,1942816000000.0,4019953000000.0,434999999.99999994,967712000000.0001,165964495000000.0,116598622000000.0,113087713999999.98,35227030000000.0,9951521000000.0,5285760000000.0,4665761000000.0,25275509000000.0,21408354000000.0,3867155000000.0005,77184100000000.0,28550359000000.004,42315330000000.0,4395289000000.0,1731979000000.0,191144000000.0,676584000000.0,3510907000000.0,25836218000000.0,23385590000000.0,144065000000.0,165964495000000.0
2017-04-30,161270937000000.0,159270322000000.0,63388675000000.0,23962576000000.0,39426099000000.0,53590122000000.0,22476537000000.0,31113584999999.996,28670171000000.004,4023291000000.0005,24646880000000.0,13621354000000.0,2000615000000.0002,3997537999999.9995,434999999.99999994,2335603000000.0,167604513000000.0,117653842000000.0,114153768000000.0,35798155000000.0,10078613000000.0,5444324000000.0,4634289000000.0,25719542000000.0,21810643000000.0,3908900000000.0,77661897000000.0,28700078999999.996,42813784000000.0,4195976000000.0,1757336000000.0,194722000000.0,693715000000.0,3500074000000.0,26281789000000.0,23523371000000.0,145512000000.0,167604513000000.0
2017-05-31,162366143000000.0,160426625000000.0,63509493999999.99,24065563000000.0,39443930000000.0,53665953000000.0,22672425000000.0,30993528000000.004,29534028999999.996,4578020000000.0,24956009000000.0,13717149000000.0,1939518000000.0,4091092000000.0,433000000.0,1833738000000.0,168291406000000.0,118663600000000.0,115244358000000.0,36409218000000.0,10257096000000.0,5630482000000.0,4626613000000.0,26152122000000.0,22187096000000.0,3965026000000.0,78206171000000.0,28928024000000.0,43253622000000.0,4047260000000.0,1777290000000.0002,199975000000.0,628969000000.0,3419242000000.0,26727234000000.004,22755019000000.0,145553000000.0,168291406000000.0
2017-06-30,165036557000000.0,162853035000000.0,64558877000000.0,24652312000000.0,39906565000000.0,54730590000000.0,23379291000000.0,31351299000000.0,29584509000000.004,3961535000000.0,25622974000000.0,13979060000000.0,2183522000000.0,4206474000000.0,978999999.9999999,859795000000.0001,170103805000000.0,120213007000000.0,116746385000000.02,37155471000000.0,10517880000000.0,5861833000000.0,4656047000000.0,26637590999999.996,22593994000000.0,4043597000000.0,78879660000000.0,29185894000000.0,43822958000000.0,3886619999999.9995,1802021000000.0,182168000000.0,711255000000.0,3466622000000.0,27223996000000.004,22524098000000.0,142704000000.0,170103805000000.0
2017-07-31,165825819000000.0,163744088000000.0,63805171000000.0,24258148000000.0,39547024000000.0,54323440000000.0,23312336000000.0,31011103000000.004,30904196000000.004,5122422000000.0,25781774000000.0,14711281000000.0,2081731000000.0002,4195265000000.0,3252000000.0000005,2032023000000.0,172056358000000.0,121035324000000.0,117538164999999.98,37717862000000.0,10625435000000.0,5997445000000.0,4627990000000.0,27092427000000.0,22992649000000.0,4099778000000.0,79193366000000.0,29235333000000.0,44233673000000.0,3718906000000.0,1817114000000.0,188340000000.0,626937000000.0,3497158000000.0,27963367000000.0,22919438000000.0,138229000000.0,172056358000000.0
2017-08-31,167041645000000.0,164845576000000.0,64034814000000.0,24433400000000.0,39601414000000.0,54807496000000.0,23526880000000.0,31280615999999.996,30956550000000.0,4732388000000.0,26224162000000.0,15046716000000.0,2196068999999.9998,4355964000000.0,957000000.0,1932633000000.0002,173331199000000.0,121986518000000.0,118553079000000.0,38382078000000.0,10842684000000.0,6206945000000.0,4635740000000.0,27539394000000.0,23373901000000.0,4165492000000.0,79594130000000.0,29232521999999.996,44590613000000.0,3750712999999.9995,1832224000000.0002,188057000000.0,576871000000.0,3433439000000.0,28305040000000.004,22902074000000.0,137567000000.0,173331199000000.0
2017-09-30,167416177000000.0,165192962000000.0,65073850000000.0,25107279000000.0,39966571000000.0,55084148000000.0,23042835000000.0,32041314000000.0,30858352000000.0,4334275000000.0,26524077000000.0,14176612000000.0,2223215000000.0,4536284000000.0,963000000.0000001,2685637000000.0,174639060000000.0,123179560000000.02,119821102000000.0,39113557000000.0,11097667000000.0,6433342000000.0,4664325000000.0,28015890000000.004,23775301000000.0,4240590000000.0,80041321000000.0,29198933000000.0,45062369000000.0,3748060000000.0,1858900999999.9998,173058000000.0,666224000000.0,3358458000000.0,28916639000000.0,22404217000000.0,138645000000.0,174639060000000.0
2017-10-31,168503200000000.0,166261242000000.0,64272440000000.0,24575142000000.0,39697298000000.0,55113556000000.01,23637922000000.0,31475634000000.004,32225418000000.0,5383906000000.0,26841512000000.0,14649828000000.0,2241958000000.0,4571306000000.0,961000000.0,2910523000000.0,175985990000000.0,123887833000000.0,120480946000000.0,39563549000000.0,11176712000000.0,6559424000000.001,4617289000000.0,28386836000000.0,24109798000000.0,4277037999999.9995,80252244000000.0,29189203999999.996,45294204000000.0,3709910000000.0,1884390000000.0002,174535000000.0,665154000000.0,3406887000000.0005,29374281000000.0,22587720000000.0,136156000000.0,175985990000000.0
2017-11-30,170077772000000.0,167850512000000.0,64414025000000.0,24615303000000.0,39798723000000.0,55852961000000.0,24186341000000.0,31666620000000.0,32496776000000.0,5346066000000.0,27150709000000.004,15086751000000.0,2227260000000.0,4730073000000.0,958000000.0,2890894000000.0,177699698000000.0,125049330000000.0,121613488999999.98,40183657000000.0,11379087000000.0,6756922000000.0,4622166000000.0,28804570000000.0,24459986000000.0,4344585000000.0,80781439000000.0,29228892000000.0,45710993000000.0,3748048000000.0005,1919727000000.0,173779000000.0,648393000000.0,3435841000000.0005,29986773000000.0,22529657000000.0,133938000000.00002,177699698000000.0
2017-12-31,169272715000000.0,167075608000000.0,65198338000000.0,25260748000000.0,39937591000000.0,57164082999999.99,25015409000000.0,32148675000000.0,30556420000000.0,4113478000000.0,26442942000000.0,14156766000000.0,2197108000000.0002,5054839000000.0,947000000.0000001,3799023000000.0005,178127524000000.0,125607374000000.0,122174593000000.0,40515018000000.0,11397740000000.0,6812300000000.0,4585440000000.0,29117278000000.004,24717330000000.0,4399948000000.0,81017119000000.0,29151476000000.0,45895734000000.0,3888282000000.0,1934130000000.0,147496000000.0,642456000000.0,3432782000000.0,30304515000000.004,22084302000000.0,131332000000.0,178127524000000.0
