项目 Item,一、各项存款 Total Deposits,（一）境内存款 Domestic Deposits,1.住户存款 Deposits of Households,（1）活期存款 Demand Deposits,（2）定期及其他存款 Time & Other Deposits,2.非金融企业存款 Deposits of Non-financial Enterprises,（1）活期存款 Demand Deposits,（2）定期及其他存款 Time & Other Deposits,3.机关团体存款 Deposits of Government Departments & Organizations,4.财政性存款 Fiscal Deposits,5.非银行业金融机构存款 Deposits of Non-banking Financial Institutions,（二）境外存款 Overseas Deposits,二、金融债券 Financial Bonds,三、对国际金融机构负债 Liabilities to International Financial Institutions,四、其他 Other Items,资金来源总计 Total Funds Sources,一、各项贷款 Total Loans,（一）境内贷款 Domestic Loans,1.住户贷款 Loans to Households,（1）短期贷款 Short-term Loans,消费贷款 Consumption Loans,经营贷款 Operating Loans,（2）中长期贷款 Mid & Long-term Loans,消费贷款 Consumption Loans,经营贷款 Operating Loans,2.非金融企业及机关团体贷款 Loans to Non-financial Enterprises and Government Departments & Organizations,（1）短期贷款 Short-term Loans,（2）中长期贷款 Mid & Long-term Loans,（3）票据融资 Paper Financing,（4）融资租赁 Financial Leases,（5）各项垫款 Total Advances,3.非银行业金融机构贷款 Loans to Non-banking Financial Institutions,（二）境外贷款 Overseas Loans,二、债券投资 Portfolio Investments,三、股权及其他投资 Shares and Other Investments,四、在国际金融机构资产 Assets with International Financial Institutions,资金运用总计 Total Funds Uses
2019-01-31,185795879000000.0,183229629000000.0,76283139000000.0,29056642000000.0,47226496000000.0,58411168000000.01,23669691000000.0,34741477000000.0,28280902000000.0,4587572000000.0,15666849000000.0,2566250000000.0,6916847000000.0,731000000.0,8204431000000.0,200917887000000.0,145104438000000.0,141208139000000.0,48888959000000.0,13769504999999.998,8672395000000.0,5097110000000.0,35119453999999.996,29912559000000.004,5206895000000.0,91576620000000.0,29959808000000.0,52808882999999.99,6296813000000.0,2310748000000.0,200368000000.0,742560000000.0,3896299000000.0,34794071999999.996,20880367000000.0,139010000000.0,200917887000000.0
2019-02-28,187226534000000.0,184653214000000.0,77615620000000.0,28235431000000.0,49380189000000.0,57260668999999.99,22701400000000.0,34559268000000.0,28517914000000.0,4911771000000.0,16347239000000.002,2573320000000.0,6997566000000.0,731000000.0,8046228999999.999,202271059000000.0,145995975000000.0,142078346000000.0,48819199000000.0,13477160999999.998,8415185000000.001,5061976000000.0,35342038000000.0,30145071000000.004,5196967000000.0,92395390000000.0,30095675000000.0,53318574000000.0,6466302000000.0,2311904000000.0,202935000000.0,863756000000.0,3917629000000.0,35276644000000.0,20859996000000.0,138444000000.0,202271059000000.0
2019-03-31,189000036000000.0,186375003000000.0,78495492000000.0,27949133000000.0,50546359000000.0,59163302000000.0,23726883000000.0,35436418000000.0,29284680000000.0,4219040000000.0,15212491000000.0,2625033000000.0,7197927000000.0,732000000.0,8213139000000.0,204411834000000.0,147768628000000.0,143782833000000.0,49708948000000.0,13905948000000.002,8707371000000.001,5198577000000.0,35803000000000.0,30528725000000.0,5274275000000.0,93477472000000.0,30420152000000.0,53966732999999.99,6564095000000.0,2320919000000.0,205573000000.0,596412000000.0,3985794999999.9995,35861256000000.0,20643746000000.0,138205000000.0,204411834000000.0
2019-04-30,189245562000000.0,186592852000000.0,77870974000000.0,27523659000000.004,50347315000000.0,58961339000000.0,23133844000000.0,35827495000000.0,29507996999999.996,4753710000000.0,15498831000000.0,2652711000000.0,7159308000000.0,734000000.0,9265048000000.0,205670652000000.0,148642090000000.0,144769133000000.0,50234550000000.0,14015076999999.998,8817155000000.0,5197922000000.0,36219473000000.0,30887945000000.0,5331528000000.0,93789999000000.0,30245031000000.0,54249234000000.0,6751533000000.0,2334839000000.0,209362000000.0,744585000000.0,3872957000000.0,36270011000000.0,20620440000000.0,138111000000.0,205670652000000.0
2019-05-31,190476011000000.0,187810525000000.0,78121068000000.0,27609946000000.004,50511122000000.0,59072547000000.0,23328336000000.0,35744211000000.0,29832731000000.0,5238621000000.0,15545557999999.998,2665487000000.0,7358610000000.001,750000000.0,9369795000000.0,207205166000000.0,150008646000000.0,146032512000000.0,50897669000000.0,14210453000000.0,8972519000000.0,5237934000000.0,36687216000000.0,31280286000000.0,5406930000000.0,94385473000000.0,30423155000000.0,54514436000000.0,6864775000000.0,2364480000000.0,218626000000.00003,749370000000.0,3976133000000.0,36605102000000.0,20450845000000.0,140574000000.0,207205166000000.0
2019-06-30,192792909000000.0,190102310000000.0,79247228000000.0,28174253000000.004,51072976000000.0,60665506999999.99,24712778000000.0,35952728000000.0,30403911000000.0,4736573000000.0,15049091000000.0,2690599000000.0,7601198000000.0,582000000.0,8514873000000.0,208909562000000.0,151597363000000.0,147684332000000.0,51655712000000.0,14479462000000.0,9138128000000.0,5341334000000.0,37176250000000.0,31675582000000.0,5500668000000.0,95293296000000.0,30867496999999.996,54890407999999.99,6961435000000.001,2385227000000.0,188729000000.0,735323000000.0,3913032000000.0,37119921000000.0,20051987000000.0,140291000000.0,208909562000000.0
2019-07-31,193340192000000.0,190698501000000.0,79138008000000.0,28224627000000.0,50913382000000.0,59227515000000.0,23799131000000.0,35428384000000.0,30402040999999.996,5545696000000.0,16385241000000.0,2641691000000.0,7686741000000.0,583000000.0,9259421000000.0,210286937000000.0,152576405000000.0,148703528000000.0,52167146000000.0,14549216000000.0,9206750000000.0,5342466000000.0,37617930000000.0,32049033000000.0,5568896000000.0,95571457000000.0,30631855000000.0,55251079000000.0,7090072000000.0,2402211000000.0,196241000000.0,964925000000.0,3872876999999.9995,37755309000000.0,19812408000000.0,142815000000.0,210286937000000.0
2019-08-31,195195358000000.0,192473804000000.0,79421005000000.0,28386890000000.004,51034116000000.0,59771749000000.0,23806247000000.0,35965502000000.0,30602478999999.996,5555173000000.0,17123399000000.0,2721554000000.0,7853889999999.999,602000000.0,9062876000000.0,212112725999999.97,153939382000000.0,149958736000000.0,52821853000000.0,14749846000000.0,9361059000000.0,5388787000000.0,38072007000000.0,32441490000000.004,5630517000000.0,96261852000000.0,30606578000000.004,55703101000000.0,7332650000000.0,2416438000000.0,203084000000.0,875031000000.0,3980646000000.0,38451130000000.0,19575117000000.0,147096000000.0,212112725999999.97
2019-09-30,195913130000000.0,193184398000000.0,80956056000000.0,29011284000000.004,51944772000000.0,60265132999999.99,23633751000000.0,36631382000000.0,30804201000000.0,4852595000000.0,16306413000000.0,2728732000000.0,8024209000000.0,601000000.0,9688314000000.0,213626254000000.0,155581205000000.0,151598590000000.0,53577760000000.0,15014893000000.0,9530317000000.0,5484577000000.0,38562867000000.0,32859196999999.996,5703670000000.0,97217254000000.0,30836950000000.0,56245734000000.0,7508252000000.0,2427607000000.0,198712000000.0,803575000000.0,3982615000000.0,38723337000000.0,19175320000000.0,146392000000.0,213626254000000.0
2019-10-31,196259393000000.0,193527075000000.0,80352986000000.0,28603133000000.0,51749853000000.0,59679678000000.0,23846655000000.0,35833023000000.0,30903915000000.004,5407669000000.0,17182828000000.0,2732318000000.0,8125037000000.0,594000000.0,10007123000000.0,214392147000000.03,156218654000000.0,152247660000000.0,53998491000000.0,15076972000000.0,9606996000000.0,5469976000000.0,38921519000000.0,33198298000000.0,5723222000000.0,97336660000000.0,30713478999999.996,56467118999999.99,7529700000000.0,2427485000000.0,198878000000.0,912509000000.0,3970994000000.0,38950237000000.0,19077052000000.0,146204000000.0,214392147000000.03
2019-11-30,197550257000000.0,194839044000000.0,80600379000000.0,28730549000000.0,51869830000000.0,60545139000000.0,24340092000000.0,36205046000000.0,30653477000000.0,5162524000000.0,17877525000000.0,2711213000000.0,8264878999999.999,594000000.0,10009082000000.0,215824811000000.0,157560256000000.0,153603160000000.0,54680949000000.0,15290535999999.998,9791383000000.0,5499153000000.0,39390413000000.0,33611940999999.996,5778473000000.0,97984458000000.0,30862599000000.0,56870241000000.0,7591767999999.999,2450874000000.0,208977000000.0,937752000000.0,3957096000000.0,39155865000000.0,18963302000000.0,145389000000.0,215824811000000.0
2019-12-31,198164258000000.0,195490991000000.0,82129639000000.0,29873930000000.0,52255709000000.0,62114701000000.0,25433870000000.0,36680831000000.0,29833921000000.004,4084018000000.0,17328712000000.0,2673267000000.0,8621458000000.0,591000000.0,10543580000000.0,217329887000000.0,158602056000000.0,154693019000000.0,55329596000000.0,15455557999999.998,9930781000000.0,5524777000000.0,39874038000000.0,34046336000000.0,5827702000000.0,98373201000000.0,30815959000000.004,57282754000000.0,7617563000000.0,2480637000000.0,176289000000.0,990220999999.9999,3909037999999.9995,39765411000000.0,18816688000000.0,145732000000.0,217329887000000.0
