项目 Item,一、各项存款 Total Deposits,（一）境内存款 Domestic Deposits,1.住户存款 Deposits of Households,（1）活期存款 Demand Deposits,（2）定期及其他存款 Time & Other Deposits,2.非金融企业存款 Deposits of Non-financial Enterprises,（1）活期存款 Demand Deposits,（2）定期及其他存款 Time & Other Deposits,3.机关团体存款 Deposits of Government Departments & Organizations,4.财政性存款 Fiscal Deposits,5.非银行业金融机构存款 Deposits of Non-banking Financial Institutions,（二）境外存款 Overseas Deposits,二、金融债券 Financial Bonds,三、对国际金融机构负债 Liabilities to International Financial Institutions,四、其他 Other Items,资金来源总计 Total Funds Sources,一、各项贷款 Total Loans,（一）境内贷款 Domestic Loans,1.住户贷款 Loans to Households,（1）短期贷款 Short-term Loans,消费贷款 Consumption Loans,经营贷款 Operating Loans,（2）中长期贷款 Mid & Long-term Loans,消费贷款 Consumption Loans,经营贷款 Operating Loans,2.企（事）业单位贷款 Loans to Non-financial Enterprises and Government Departments & Organizations,（1）短期贷款 Short-term Loans,（2）中长期贷款 Mid & Long-term Loans,（3）票据融资 Paper Financing,（4）融资租赁 Financial Leases,（5）各项垫款 Total Advances,3.非银行业金融机构贷款 Loans to Non-banking Financial Institutions,（二）境外贷款 Overseas Loans,二、债券投资 Portfolio Investments,三、股权及其他投资 Shares and Other Investments,四、在国际金融机构资产 Assets with International Financial Institutions,资金运用总计 Total Funds Uses
2021-01-31,222219454000000.0,218888048000000.0,94902702000000.0,32982095000000.0,61920606999999.99,69840218000000.01,26469221999999.996,43370996000000.0,30036156000000.0,5687423000000.0,18421548000000.0,3331406000000.0,10968079000000.0,405000000.0,14819813000000.0,248007750999999.97,182226332000000.0,177998193000000.0,64462617000000.01,15807299000000.0,8818794000000.0,6988505000000.0,48655318000000.0,41538701000000.0,7116617000000.0,113181122000000.0,33878463000000.0,68116776000000.0,8215167999999.999,2798909000000.0,171806000000.0,354453000000.0,4228140000000.0,46544136000000.0,19085776000000.0,151507000000.0,248007750999999.97
2021-02-28,223516704000000.0,220071516000000.0,98164486000000.0,33760906000000.0,64403580000000.01,67455179000000.0,24449994000000.0,43005185000000.0,29572906000000.0,4839538000000.0,20039407000000.0,3445187999999.9995,10897069000000.0,405000000.0,15404742000000.002,249818920000000.03,183603735000000.0,179402218000000.0,64604612000000.0,15538067000000.002,8496335000000.001,7041732000000.001,49066545000000.0,41859259000000.0,7207286000000.0,114426687999999.98,34176636000000.0,69219413000000.0,8029655000000.0,2827179000000.0,173806000000.0,370917000000.0,4201517000000.0,46642573000000.0,19421187000000.0,151424000000.0,249818920000000.03
2021-03-31,227210474000000.03,223736902999999.97,100107260000000.0,34227542000000.0,65879718000000.01,69201741000000.0,25683033000000.0,43518709000000.0,30334176000000.0,4353101999999.9995,19740623000000.0,3473571000000.0,11165530000000.0,409000000.0,14439168000000.0,252815581000000.0,186437009000000.0,182186986000000.0,65751865000000.0,16062301000000.0,8726463000000.0,7335838000000.0,49689564000000.0,42277180000000.0,7412384000000.0,116094390999999.98,34611658000000.0,70546029000000.0,7877155000000.0,2868910000000.0,190639000000.0,340730000000.0,4250023000000.0005,47092996000000.0,19136356000000.0,149221000000.0,252815581000000.0
2021-04-30,226694589000000.0,223077337000000.0,98517789000000.0,32801626000000.0,65716163000000.0,68942686000000.0,24943353000000.0,43999333000000.0,30413978999999.996,4930198000000.0,20272684000000.0,3617253000000.0,11202048000000.0,405000000.0,16460674000000.0,254357716000000.0,187852490000000.0,183560215000000.0,66280046000000.0,16098732999999.998,8756675999999.999,7342057000000.001,50181313000000.0,42670277000000.0,7511036000000.0,116786115999999.98,34340149000000.0,71202171000000.0,8148278999999.999,2900615000000.0,194903000000.0,494052000000.00006,4292276000000.0,47224433000000.0,19132021000000.0,148772000000.0,254357716000000.0
2021-05-31,229217622000000.03,225603811000000.0,98605591000000.0,32697796000000.004,65907794999999.99,68820549000000.0,25302074000000.0,43518475000000.0,31277827000000.0,5855271000000.0,21044573000000.0,3613811000000.0,11317474000000.0,415000000.00000006,15482053000000.0,256017564000000.0,189345762000000.0,185018685000000.0,66903228000000.0,16279339000000.002,8851890000000.0,7427449000000.001,50623889000000.0,43018170000000.0,7605719000000.0,117558125000000.0,34247359999999.996,71844406000000.0,8302100000000.0,2927221000000.0,237037000000.0,557332000000.0,4327076999999.9995,47569952000000.0,18954460000000.0,147390000000.0,256017564000000.0
2021-06-30,233200219000000.0,229486694000000.0,100848355000000.0,34071559000000.004,66776796000000.0,71365945000000.0,26643484000000.004,44722461000000.0,31058290999999.996,5455631000000.0,20758472000000.0,3713526000000.0,11400728000000.0,419000000.00000006,14040213000000.0,258641579999999.97,191617532000000.0,187255574000000.0,67767387000000.0,16626876000000.0,8974383000000.0,7652492000000.0,51140512000000.0,43373198000000.0,7767313000000.0,119114986000000.02,34636212000000.0,72694586000000.0,8576781000000.0,2963439000000.0,243969000000.0,373200000000.0,4361958000000.0,48135064000000.0,18741790000000.0,147193000000.0,258641579999999.97
2021-07-31,231919531999999.97,228279256999999.97,99490862000000.0,32993974000000.0,66496888000000.0,69943337000000.0,25773696000000.0,44169641000000.0,31065108000000.0,6056460000000.0,21723491000000.0,3640274000000.0,11678486000000.0,419000000.00000006,16298596000000.0,259897033000000.0,192681944000000.0,188257823000000.0,68173263000000.0,16635353000000.0,8990955000000.0,7644398000000.0,51537910000000.0,43701721000000.0,7836189000000.0,119540650000000.0,34370150000000.0,73194312000000.0,8753891000000.0,2964679000000.0,257617999999.99997,543909000000.0,4424121000000.0,48175643000000.0,18892056000000.0,147390000000.0,259897033000000.0
2021-08-31,233320146000000.0,229762227999999.97,99822753000000.0,33090034000000.004,66732718999999.99,70577789000000.0,25879170000000.0,44698620000000.0,31275108000000.0,6228905000000.0,21857672000000.0,3557919000000.0,12027112000000.0,419000000.00000006,16785504000000.0,262133183000000.0,193895033000000.0,189498976000000.0,68749217000000.01,16785406000000.0,9065531000000.0,7719875999999.999,51963811000000.0,44028962000000.0,7934849000000.001,120273876000000.0,34275689000000.0,73734183000000.0,9035251000000.0,2967737000000.0,261016000000.0,475882000000.0,4396057000000.0,48934589000000.0,18888492000000.0,415068999999.99994,262133183000000.0
2021-09-30,235618658000000.0,232055029999999.97,101887807000000.0,34023894000000.0,67863913000000.0,71120838000000.0,25791922000000.0,45328916000000.0,31552859999999.996,5723920000000.0,21769605000000.0,3563626999999.9995,12059877000000.0,541000000.0,16710897000000.0,264389973000000.0,195564540000000.0,191183981000000.0,69535544999999.99,17105666000000.0,9214849000000.0,7890817000000.0,52429880000000.01,44360239000000.0,8069641000000.0,121261550000000.0,34450713000000.0,74447918000000.0,9170526000000.0,2950856000000.0,241537000000.0,386886000000.0,4380558999999.9995,49748468000000.0,18660239000000.0,416725000000.0,264389973000000.0
2021-10-31,236423937000000.0,232917422000000.03,100674290000000.0,33074476000000.0,67599814000000.0,70643012000000.0,25953316000000.0,44689696000000.0,31771009999999.996,6834492000000.0,22994619000000.0,3506515000000.0,12060251000000.0,538000000.0,17544976000000.0,266029702000000.0,196384471000000.0,191979492000000.0,70000027000000.0,17148089000000.002,9271543000000.0,7876546000000.001,52851938000000.0,44759547000000.0,8092391000000.0,121534224000000.0,34393809000000.004,74660361000000.0,9286537000000.0,2938023000000.0,255494999999.99997,445241000000.0,4404978000000.0,50473170000000.0,18755712000000.0,416349000000.0,266029702000000.0
